city,state,population
Teignmouth,Devon,14749
Otley,West Yorkshire,13668
Bridport,Dorset,13569
Whitby,York and North Yorkshire,13213
Hersham,England,12414
New Mills,East Midlands,12291
Aberystwyth,Cymru / Wales,12250
Bridgnorth,England,12079
Hackney,England,11734
Newport,Newport,11387
Epping,Essex,11047
Tavistock,Devon,11018
Highgate,England,10955
Flixton,England,10786
Hatch End,England,10693
Abergele,Cymru / Wales,10577
Castleton,East Midlands,10159
Beccles,Suffolk,10123
Mold,Cymru / Wales,10058
Handsworth,England,9957
Stocksbridge,South Yorkshire,9869
Kilsyth,Alba / Scotland,9860
Kippax,West Yorkshire,9785
Lambeth,England,9675
Matlock,England,9543
Bradford-on-Avon,Wiltshire,9402
Bude,England,9222
Ferryhill,England,8942
Glastonbury,Somerset,8932
Skewen,Cymru / Wales,8500
Blackwood,Caerphilly,8496
Cinderford,Gloucestershire,8494
Egremont,Cumberland,8194
Totnes,Devon,8076
Woodbridge,Suffolk,7749
Tenterden,Kent,7735
Rothwell,England,7694
Kingsbury,England,7652
Wivenhoe,Essex,7637
Chobham,Surrey,7456
Esher,Surrey,6743
Battle,East Sussex,6673
Anstey,Leicestershire,6528
Wimborne Minster,Dorset,6418
Ventnor,Isle of Wight,5976
Saltburn-by-the-Sea,England,5958
Selkirk,Alba / Scotland,5784
Hoylake,England,5710
Holmes Chapel,Cheshire East,5605
Great Bookham,England,5596
Brynmawr,Cymru / Wales,5530
Newent,Gloucestershire,5207
Whiston,Liverpool City Region,5042
Marston Green,England,5000
Broseley,England,4929
Bethesda,Cymru / Wales,4735
Cowbridge,Cymru / Wales,4063
Melton,Suffolk,3741
Water Orton,England,3444
Menai Bridge,Cymru / Wales,3376
Cuckfield,West Sussex,3266
Preston,Lancashire,3258
Icklesham,East Sussex,2751
Meriden,West Midlands,2719
Ironbridge,Shropshire,2582
