year,artist,title,album_length,tracks,subgenre,style
2007,!!!,Myth Takes,60.22,13,indie,Alternative Rock
2007,!!!,Myth Takes,60.22,13,indie,Indie Rock
2010,!!!,"Strange Weather, Isn't It?",40.8,9,indie,Indie Rock
1985,'Til Tuesday,Voices Carry,38.62,10,indie,New Wave
1985,'Til Tuesday,Voices Carry,38.62,10,indie,Pop Rock
2007,*shels,Sea of the Dying Dhow,59.23,11,indie,Post Rock
2007,*shels,Sea of the Dying Dhow,59.23,11,punk,Hardcore
2006,+44,When Your Heart Stops Beating,43.9,12,indie,Pop Rock
2006,+44,When Your Heart Stops Beating,43.9,12,punk,Punk
1999,...And You Will Know Us by the Trail of Dead,Madonna,45.57,13,classic,Art Rock
1999,...And You Will Know Us by the Trail of Dead,Madonna,45.57,13,indie,Indie Rock
2002,...And You Will Know Us by the Trail of Dead,Source Tags and Codes,45.9,11,indie,Alternative Rock
2005,...And You Will Know Us by the Trail of Dead,Worlds Apart,44.95,12,indie,Alternative Rock
2005,...And You Will Know Us by the Trail of Dead,Worlds Apart,44.95,12,indie,Indie Rock
2006,...And You Will Know Us by the Trail of Dead,So Divided,46.37,11,indie,Alternative Rock
2006,...And You Will Know Us by the Trail of Dead,So Divided,46.37,11,indie,Indie Rock
2009,...And You Will Know Us by the Trail of Dead,The Century of Self,53.58,13,indie,Alternative Rock
2006,...Of Sinking Ships,...Of Sinking Ships,35.97,8,indie,Post Rock
2009,009 Sound System,009 Sound System,75.93,11,indie,Pop Rock
2001,10 Years,Into the Half Moon,39.33,9,metal,Nu Metal
2005,10 Years,The Autumn Effect,52.8,13,indie,Alternative Rock
2005,10 Years,The Autumn Effect,52.8,13,metal,Hard Rock
2008,10 Years,Division,53.62,13,indie,Alternative Rock
2010,10 Years,Feeding the Wolves,37.87,10,metal,Hard Rock
1987,"10,000 Maniacs",In My Tribe,46.77,12,roots,Folk Rock
1987,"10,000 Maniacs",In My Tribe,46.77,12,roots,Soft Rock
1992,"10,000 Maniacs",Our Time in Eden,47.92,13,indie,Alternative Rock
1992,"10,000 Maniacs",Our Time in Eden,47.92,13,roots,Folk Rock
1992,"10,000 Maniacs",Our Time in Eden,47.92,13,roots,Soft Rock
2004,100 Demons,100 Demons,25.63,9,metal,Heavy Metal
2004,100 Demons,100 Demons,25.63,9,metal,Metalcore
2004,100 Demons,100 Demons,25.63,9,punk,Hardcore
1994,108,Songs of Separation,32.85,15,punk,Hardcore
2007,108,A New Beat From A Dead Heart,34.65,13,punk,Hardcore
2010,108,18.61,23.55,10,punk,Hardcore
1973,10cc,10cc,35.23,10,classic,Art Rock
1974,10cc,Sheet Music,37.79,10,classic,Art Rock
1975,10cc,The Original Soundtrack,41.78,8,classic,Art Rock
1976,10cc,How Dare You!,42.2,9,classic,Art Rock
1976,10cc,How Dare You!,42.2,9,classic,Prog Rock
1976,10cc,How Dare You!,42.2,9,indie,Pop Rock
1977,10cc,Deceptive Bends,51.21,9,indie,Pop Rock
1996,12 Rods,Gay?,38.07,6,indie,Alternative Rock
1998,12 Rods,Split Personalities,51.08,10,indie,Alternative Rock
2002,12 Stones,12 Stones,41.33,12,indie,Alternative Rock
2004,12 Stones,Potter's Field,42.77,11,indie,Alternative Rock
2007,12 Stones,Anthem For The Underdog,38.83,11,indie,Alternative Rock
2007,12 Stones,Anthem For The Underdog,38.83,11,punk,Grunge
1996,16,Drop Out,44.73,10,metal,Stoner Rock
1996,16,Drop Out,44.73,10,punk,Hardcore
2009,16,Bridges to Burn,46.57,12,punk,Hardcore
2009,16,Bridges to Burn,46.57,12,roots,Southern Rock
1995,16 Horsepower,Sackcloth 'n' Ashes,41.45,13,roots,Country Rock
1995,16 Horsepower,Sackcloth 'n' Ashes,41.45,13,roots,Folk Rock
1997,16 Horsepower,Low Estate,49.35,13,roots,Country Rock
1997,16 Horsepower,Low Estate,49.35,13,roots,Folk Rock
2000,16 Horsepower,Secret South,42.03,11,indie,Alternative Rock
2000,16 Horsepower,Secret South,42.03,11,roots,Country Rock
2000,16 Horsepower,Secret South,42.03,11,roots,Folk Rock
2002,16 Horsepower,Folklore,37.45,10,indie,Alternative Rock
2002,16 Horsepower,Folklore,37.45,10,roots,Country Rock
2002,16 Horsepower,Folklore,37.45,10,roots,Folk Rock
2003,1905,Voice,37.78,14,indie,Emo
2003,1905,Voice,37.78,14,punk,Hardcore
2003,3,Summercamp Nightmare,60.6,12,classic,Prog Rock
2003,3,Summercamp Nightmare,60.6,12,metal,Heavy Metal
2004,3,Wake Pig,57.42,11,indie,Alternative Rock
2004,3,Wake Pig,57.42,11,metal,Hard Rock
2004,3,Wake Pig,57.42,11,metal,Heavy Metal
2007,3,The End is Begun,53.53,13,metal,Heavy Metal
2009,3,Revisions,43.82,11,classic,Prog Rock
2009,3,Revisions,43.82,11,indie,Alternative Rock
2000,3 Doors Down,The Better Life,41.02,11,indie,Alternative Rock
2000,3 Doors Down,The Better Life,41.02,11,indie,Pop Rock
2002,3 Doors Down,Away from the Sun,46.8,12,indie,Alternative Rock
2003,3 Doors Down,Another 700 Miles,28.45,7,indie,Alternative Rock
2003,3 Doors Down,Another 700 Miles,28.45,7,roots,Southern Rock
2005,3 Doors Down,Seventeen Days,51.7,14,indie,Alternative Rock
2008,3 Doors Down,3 Doors Down,45.65,12,indie,Alternative Rock
1993,311,Music,46.22,12,indie,Alternative Rock
1993,311,Music,46.22,12,metal,Hard Rock
1993,311,Music,46.22,12,metal,Stoner Rock
1994,311,Grassroots,45.1,14,indie,Alternative Rock
1995,311,311,39.92,14,indie,Alternative Rock
1997,311,Transistor,63.35,21,classic,Space Rock
1997,311,Transistor,63.35,21,indie,Alternative Rock
1999,311,Soundsystem,46.87,13,indie,Alternative Rock
2001,311,From Chaos,40.02,16,indie,Alternative Rock
2003,311,Evolver,41.85,11,indie,Alternative Rock
2003,311,Evolver,41.85,11,indie,Pop Rock
2009,311,Uplifter,46.88,12,indie,Alternative Rock
2005,32 Leaves,Welcome to the Fall,41.43,13,metal,Hard Rock
2009,32 Leaves,Panoramic,42.67,13,metal,Hard Rock
1997,36 Crazyfists,In the Skin,39.32,12,metal,Nu Metal
2002,36 Crazyfists,Bitterness the Star,46.5,13,metal,Metalcore
2002,36 Crazyfists,Bitterness the Star,46.5,13,metal,Nu Metal
2002,36 Crazyfists,Bitterness the Star,46.5,13,punk,Post-Hardcore
2004,36 Crazyfists,A Snow Capped Romance,38.3,11,metal,Heavy Metal
2004,36 Crazyfists,A Snow Capped Romance,38.3,11,punk,Hardcore
2006,36 Crazyfists,Rest Inside the Flames,40.42,11,metal,Nu Metal
2006,36 Crazyfists,Rest Inside the Flames,40.42,11,punk,Hardcore
2008,36 Crazyfists,The Tide and Its Takers,42.87,11,metal,Metalcore
2010,36 Crazyfists,Collisions and Castaways,44.93,11,metal,Metalcore
2002,3rd Strike,Lost Angel,42.08,12,indie,Alternative Rock
2002,3rd Strike,Lost Angel,42.08,12,metal,Heavy Metal
2002,3rd Strike,Lost Angel,42.08,12,metal,Nu Metal
1992,4 Non Blondes,"Bigger, Better, Faster, More!",41.03,11,indie,Alternative Rock
1992,4 Non Blondes,"Bigger, Better, Faster, More!",41.03,11,metal,Hard Rock
1992,4 Non Blondes,"Bigger, Better, Faster, More!",41.03,11,roots,Folk Rock
2001,40 Below Summer,Invitation to the Dance,46.13,12,metal,Heavy Metal
2001,40 Below Summer,Invitation to the Dance,46.13,12,metal,Nu Metal
2003,40 Below Summer,The Mourning After,48.67,10,metal,Hard Rock
2003,40 Below Summer,The Mourning After,48.67,10,metal,Nu Metal
2006,40 Below Summer,The Last Dance,37.55,24,indie,Alternative Rock
2006,40 Below Summer,The Last Dance,37.55,24,metal,Nu Metal
1983,45 Grave,Sleep In Safety,38.58,11,punk,Punk
2008,5ive,Hesperus,44.78,7,classic,Psychedelic Rock
2008,5ive,Hesperus,44.78,7,metal,Stoner Rock
2004,65daysofstatic,The Fall of Math,43.75,11,indie,Post Rock
2005,65daysofstatic,One Time for All Time,37.13,9,indie,Post Rock
2007,65daysofstatic,The Destruction of Small Ideas,62.27,12,indie,Post Rock
2010,65daysofstatic,We Were Exploding Anyway,51.12,9,indie,Post Rock
2001,7 Angels 7 Plagues,Jhazmyne's Lullaby,37.73,9,metal,Metalcore
1984,7 Seconds,The Crew,30.01,18,punk,Hardcore
1984,7 Seconds,The Crew,30.01,18,punk,Punk
1985,7 Seconds,"Walk Together, Rock Together",28.67,15,punk,Hardcore
1985,7 Seconds,"Walk Together, Rock Together",28.67,15,punk,Punk
1986,7 Seconds,New Wind,38.97,13,punk,Hardcore
1986,7 Seconds,New Wind,38.97,13,punk,Punk
1994,7 Year Bitch,¡Viva Zapata!,32.8,11,indie,Alternative Rock
1994,7 Year Bitch,¡Viva Zapata!,32.8,11,punk,Punk
1976,801,801 Live,46.53,10,classic,Art Rock
1976,801,801 Live,46.53,10,classic,Prog Rock
1995,88 Fingers Louie,Behind Bars,30.22,12,punk,Punk
1998,88 Fingers Louie,Back On The Streets,36.25,16,punk,Punk
2004,90 Day Men,Panda Park,34.62,7,indie,Post Rock
1997,A,How Ace Are Buildings,58.87,14,indie,Alternative Rock
1997,A,How Ace Are Buildings,58.87,14,indie,Pop Rock
1997,A,How Ace Are Buildings,58.87,14,punk,Punk
1999,A,'A' Vs Monkey Kong,50.3,14,indie,Alternative Rock
1999,A,'A' Vs Monkey Kong,50.3,14,indie,Pop Rock
1999,A,'A' Vs Monkey Kong,50.3,14,punk,Punk
2002,A,Hi-Fi Serious,45.5,12,indie,Alternative Rock
2002,A,Hi-Fi Serious,45.5,12,punk,Grunge
2005,A Black Rose Burial,An Awakening of Revenants,21.0,7,metal,Metalcore
1980,A Certain Ratio,The Graveyard and The Ballroom,45.77,16,indie,New Wave
1981,A Certain Ratio,To Each...,46.17,9,indie,New Wave
1982,A Certain Ratio,Sextet,36.87,9,indie,New Wave
2005,A Change Of Pace,An Offer You Can't Refuse,38.85,11,indie,Emo
2005,A Change Of Pace,An Offer You Can't Refuse,38.85,11,punk,Punk
2004,A Day In Black And White,My Heroes Have Always Killed Cowboys,32.48,5,indie,Emo
2004,A Day In Black And White,My Heroes Have Always Killed Cowboys,32.48,5,indie,Indie Rock
2004,A Day In Black And White,My Heroes Have Always Killed Cowboys,32.48,5,punk,Punk
2005,A Day In Black And White,Notes,55.13,11,indie,Emo
2005,A Day In Black And White,Notes,55.13,11,indie,Indie Rock
2005,A Day In Black And White,Notes,55.13,11,punk,Punk
2005,A Day To Remember,And Their Name Was Treason,30.85,10,metal,Metalcore
2005,A Day To Remember,And Their Name Was Treason,30.85,10,punk,Pop Punk
2008,A Day To Remember,Old Record,31.13,10,metal,Metalcore
2008,A Day To Remember,Old Record,31.13,10,punk,Pop Punk
2009,A Day To Remember,Homesick,40.63,12,metal,Metalcore
2009,A Day To Remember,Homesick,40.63,12,punk,Pop Punk
2010,A Day To Remember,What Separates Me from You,32.87,10,metal,Metalcore
2010,A Day To Remember,What Separates Me from You,32.87,10,punk,Pop Punk
2005,A Dozen Furies,A Concept From Fire,41.95,12,metal,Metalcore
2007,A Fine Frenzy,One Cell in the Sea,61.85,14,indie,Indie Rock
1982,A Flock of Seagulls,A Flock of Seagulls,40.7,11,indie,New Wave
1984,A Flock of Seagulls,The Story of a Young Heart,42.5,9,indie,Pop Rock
2010,A Forest of Stars,Opportunistic Thieves of Spring,72.17,6,indie,Post Rock
2010,A Forest of Stars,Opportunistic Thieves of Spring,72.17,6,metal,Black Metal
2000,A Global Threat,Until We Die,27.51,14,punk,Hardcore
2000,A Global Threat,Until We Die,27.51,14,punk,Punk
2010,A Great Big Pile of Leaves,Have You Seen My Prefrontal Cortex?,49.64,13,indie,Indie Rock
2010,A Great Big Pile of Leaves,Have You Seen My Prefrontal Cortex?,49.64,13,indie,Pop Rock
2008,A Hero a Fake,Volatile,40.17,11,classic,Prog Rock
2008,A Hero a Fake,Volatile,40.17,11,metal,Heavy Metal
2008,A Hero a Fake,Volatile,40.17,11,punk,Hardcore
2009,A Hill To Die Upon,Infinite Titanic Immortal,45.88,11,metal,Black Metal
2009,A Hill To Die Upon,Infinite Titanic Immortal,45.88,11,metal,Death Metal
2008,A Hope For Home,The Everlasting Man,38.7,9,punk,Post-Hardcore
2010,A Hope For Home,Realis,51.87,12,punk,Hardcore
2003,A Life Once Lost,A Great Artist,33.85,9,metal,Heavy Metal
2003,A Life Once Lost,A Great Artist,33.85,9,punk,Hardcore
2005,A Life Once Lost,Hunter,36.13,11,metal,Metalcore
2005,A Life Once Lost,Hunter,36.13,11,punk,Hardcore
2007,A Life Once Lost,Iron Gag,41.23,11,metal,Metalcore
2010,A Loathing Requiem,Psalms of Misanthropy,31.48,9,metal,Death Metal
2009,A Loss For Words,The Kids Can't Lose,34.56,11,punk,Pop Punk
2010,A Loss For Words,Motown Classics,27.17,10,punk,Pop Punk
2009,A Lot Like Birds,Plan B,42.32,9,punk,Hardcore
1996,A Minor Forest,Flemish Altruism (Constituent Parts 1993-1996),73.42,10,indie,Alternative Rock
1996,A Minor Forest,Flemish Altruism (Constituent Parts 1993-1996),73.42,10,indie,Post Rock
2010,A Pale Horse Named Death,And Hell Will Follow Me,53.77,13,indie,Alternative Rock
2000,A Perfect Circle,Mer de Noms,43.85,12,classic,Prog Rock
2000,A Perfect Circle,Mer de Noms,43.85,12,indie,Alternative Rock
2003,A Perfect Circle,Thirteenth Step,50.52,12,classic,Prog Rock
2003,A Perfect Circle,Thirteenth Step,50.52,12,indie,Alternative Rock
2004,A Perfect Circle,eMOTIVe,48.28,12,classic,Prog Rock
2004,A Perfect Circle,eMOTIVe,48.28,12,indie,Alternative Rock
2007,A Place to Bury Strangers,A Place to Bury Strangers,40.98,10,indie,Shoegaze
2009,A Place to Bury Strangers,Exploding Head,43.13,10,indie,Shoegaze
2009,A Place to Bury Strangers,Exploding Head,43.13,10,punk,Post-Punk
2007,A Plea for Purging,A Critique of Mind and Thought,36.98,10,metal,Metalcore
2007,A Plea for Purging,A Critique of Mind and Thought,36.98,10,punk,Hardcore
2009,A Plea for Purging,Depravity,42.83,11,metal,Metalcore
2010,A Plea for Purging,The Marriage Of Heaven And Hell,39.5,10,metal,Metalcore
2006,A Rocket to the Moon,Your Best Idea,44.67,13,indie,Emo
2006,A Rocket to the Moon,Your Best Idea,44.67,13,indie,Indie Rock
2006,A Rocket to the Moon,Your Best Idea,44.67,13,indie,Pop Rock
2009,A Rocket to the Moon,On Your Side,38.47,12,indie,Indie Rock
2009,A Rocket to the Moon,On Your Side,38.47,12,indie,Pop Rock
2008,A Silent Film,The City That Sleeps,45.47,11,indie,Indie Rock
2008,A Silent Film,The City That Sleeps,45.47,11,indie,Pop Rock
2009,A Skylit Drive,Adelphia,43.37,13,indie,Emo
2009,A Skylit Drive,Adelphia,43.37,13,punk,Post-Hardcore
2003,A Static Lullaby,...And Don't Forget to Breathe,40.53,10,indie,Emo
2003,A Static Lullaby,...And Don't Forget to Breathe,40.53,10,indie,Indie Rock
2003,A Static Lullaby,...And Don't Forget to Breathe,40.53,10,punk,Hardcore
2005,A Static Lullaby,Faso Latido,50.82,13,punk,Punk
2006,A Static Lullaby,A Static Lullaby,43.37,11,punk,Post-Hardcore
2008,A Static Lullaby,Rattlesnake!,41.15,12,punk,Post-Hardcore
2008,A Storm Of Light,And We Wept The Black Ocean Within,62.83,10,indie,Post Rock
2008,A Storm Of Light,And We Wept The Black Ocean Within,62.83,10,metal,Doom Metal
2009,A Storm Of Light,Forgive Us Our Trespasses,59.7,10,indie,Post Rock
2009,A Storm Of Light,Forgive Us Our Trespasses,59.7,10,metal,Doom Metal
2007,A Sunny Day in Glasgow,Scribble Mural Comic Journal,54.18,13,indie,Indie Rock
2010,A Sunny Day in Glasgow,"Autumn, Again",33.72,11,indie,Shoegaze
2004,A Thorn For Every Heart,Things Aren't So Beautiful Now,31.0,10,indie,Emo
2006,A Voice Like Rhetoric,Ethos,41.83,11,classic,Prog Rock
2006,A Voice Like Rhetoric,Ethos,41.83,11,indie,Indie Rock
2004,A Wilhelm Scream,Mute Print,32.78,11,punk,Punk
2005,A Wilhelm Scream,Ruiner,36.22,14,punk,Punk
2007,A Wilhelm Scream,Career Suicide,35.23,13,punk,Punk
2008,A.A. Bondy,American Hearts,41.11,12,roots,Folk Rock
2009,A.A. Bondy,When the Devil's Loose,37.02,10,roots,Folk Rock
1988,A.R. Kane,69,40.46,10,indie,Shoegaze
2009,ABACABB,Survivalist,40.15,10,metal,Metalcore
1995,AFI,Answer That and Stay Fashionable,28.35,16,punk,Hardcore
1995,AFI,Answer That and Stay Fashionable,28.35,16,punk,Punk
1996,AFI,Very Proud of Ya,37.87,20,punk,Hardcore
1996,AFI,Very Proud of Ya,37.87,20,punk,Punk
1997,AFI,Shut Your Mouth and Open Your Eyes,28.43,15,punk,Hardcore
1997,AFI,Shut Your Mouth and Open Your Eyes,28.43,15,punk,Punk
1999,AFI,Black Sails in the Sunset,38.25,14,punk,Hardcore
1999,AFI,Black Sails in the Sunset,38.25,14,punk,Punk
2000,AFI,The Art of Drowning,48.55,16,punk,Hardcore
2000,AFI,The Art of Drowning,48.55,16,punk,Punk
2003,AFI,Sing the Sorrow,55.93,13,punk,Hardcore
2003,AFI,Sing the Sorrow,55.93,13,punk,Punk
2009,AFI,Crash Love,59.87,16,indie,Alternative Rock
2009,AFI,Crash Love,59.87,16,punk,Hardcore
2009,AFI,Crash Love,59.87,16,punk,Punk
1989,ALL,Allroy's Revenge,30.4,12,punk,Hardcore
1989,ALL,Allroy's Revenge,30.4,12,punk,Punk
1990,ALL,Allroy Saves,33.8,12,punk,Punk
1993,ALL,Breaking Things,28.73,14,punk,Punk
1995,ALL,Pummel,34.95,15,punk,Punk
1998,ALL,Mass Nerder,30.07,16,punk,Punk
2000,ALL,Problematic,34.35,18,punk,Punk
2005,ASG,Feeling Good is Good Enough,39.08,11,metal,Hard Rock
2005,ASG,Feeling Good is Good Enough,39.08,11,metal,Stoner Rock
2008,ASG,Win Us Over,45.95,13,indie,Alternative Rock
2008,ASG,Win Us Over,45.95,13,metal,Stoner Rock
2008,ASG,Win Us Over,45.95,13,punk,Punk
2008,ASVA,What You Don't Know Is Frontier,69.07,4,metal,Doom Metal
2001,Abandoned Pools,Humanistic,45.95,12,indie,Alternative Rock
2005,Abandoned Pools,Armed to the Teeth,53.23,12,indie,Alternative Rock
2008,Abe Vigoda,Skeleton,32.28,14,punk,Punk
2010,Abe Vigoda,Crush,40.58,10,indie,Indie Rock
2010,Abe Vigoda,Crush,40.58,10,punk,Post-Punk
2008,Abigail Williams,In the Shadow of a Thousand Suns,46.57,10,metal,Black Metal
2008,Abigail Williams,In the Shadow of a Thousand Suns,46.57,10,metal,Death Metal
2010,Abigail Williams,In the Absence of Light,50.18,8,metal,Black Metal
2007,Abigail's Ghost,Selling Insincerity,56.43,11,classic,Art Rock
2007,Abigail's Ghost,Selling Insincerity,56.43,11,classic,Prog Rock
2007,Abigail's Ghost,Selling Insincerity,56.43,11,indie,Alternative Rock
2009,Abigail's Ghost,d_letion,52.98,11,classic,Prog Rock
2009,Abigail's Ghost,d_letion,52.98,11,indie,Alternative Rock
2009,Abigail's Ghost,d_letion,52.98,11,metal,Progressive Metal
2001,Absu,Tara,52.12,15,metal,Black Metal
2009,Absu,Absu,46.72,13,metal,Black Metal
2006,Abysmal Dawn,From Ashes,32.72,9,metal,Death Metal
2008,Abysmal Dawn,Programmed to Consume,37.45,9,metal,Death Metal
2005,Acceptance,Phantoms,37.15,12,indie,Alternative Rock
2005,Acceptance,Phantoms,37.15,12,indie,Emo
2005,Acceptance,Phantoms,37.15,12,indie,Indie Rock
1992,Accidental Suicide,Deceased,45.12,10,metal,Death Metal
2009,Ace Enders and a Million Different People,When I Hit the Ground,51.56,14,indie,Alternative Rock
2009,Ace Enders and a Million Different People,When I Hit the Ground,51.56,14,indie,Pop Rock
1987,Ace Frehley,Frehley's Comet,41.12,10,metal,Hard Rock
1987,Ace Frehley,Frehley's Comet,41.12,10,roots,Rock & Roll
1989,Ace Frehley,Trouble Walkin',44.45,10,metal,Hard Rock
2009,Ace Frehley,Anomaly,54.73,12,metal,Hard Rock
2009,Achilles,Hospice,29.6,12,punk,Hardcore
1994,Acid Bath,When the Kite String Pops,67.47,14,metal,Doom Metal
1994,Acid Bath,When the Kite String Pops,67.47,14,metal,Stoner Rock
1996,Acid Bath,Paegan Terrorism Tactics,73.22,12,metal,Death Metal
1996,Acid Bath,Paegan Terrorism Tactics,73.22,12,metal,Stoner Rock
1995,Acid King,Zoroaster,41.1,10,metal,Stoner Rock
1999,Acid King,Busse Woods,45.88,6,metal,Doom Metal
1999,Acid King,Busse Woods,45.88,6,metal,Stoner Rock
2005,Acid King,III,46.53,7,metal,Doom Metal
2005,Acid King,III,46.53,7,metal,Stoner Rock
2010,Acid Tiger,Acid Tiger,39.83,7,metal,Heavy Metal
2010,Acid Tiger,Acid Tiger,39.83,7,metal,Stoner Rock
2010,Acid Tiger,Acid Tiger,39.83,7,punk,Hardcore
2008,Acid Witch,Witchtanic Hellucinations,44.18,13,classic,Psychedelic Rock
2008,Acid Witch,Witchtanic Hellucinations,44.18,13,metal,Death Metal
2008,Acid Witch,Witchtanic Hellucinations,44.18,13,metal,Doom Metal
2010,Acid Witch,Stoned,40.44,10,classic,Psychedelic Rock
2010,Acid Witch,Stoned,40.44,10,metal,Death Metal
2010,Acid Witch,Stoned,40.44,10,metal,Doom Metal
2006,Acoustic Ladyland,Skinny Grin,46.8,13,classic,Art Rock
1997,Acrimony,Tumuli Shroomaroom,65.2,9,classic,Psychedelic Rock
1997,Acrimony,Tumuli Shroomaroom,65.2,9,metal,Stoner Rock
2006,Across Five Aprils,Collapse,42.2,10,metal,Metalcore
2006,Across Five Aprils,Collapse,42.2,10,punk,Post-Hardcore
2008,Across Five Aprils,Life Underwater,41.05,11,punk,Hardcore
2006,Action Action,An Army Of Shapes Between Wars,62.75,13,indie,Emo
2006,Action Action,An Army Of Shapes Between Wars,62.75,13,indie,New Wave
2002,Acumen Nation,The 5ifth Column,71.25,15,metal,Heavy Metal
2007,Acumen Nation,Psycho the Rapist,84.05,15,metal,Heavy Metal
2003,Adam Green,Friends of Mine,33.03,15,indie,Alternative Rock
2003,Adam Green,Friends of Mine,33.03,15,indie,Indie Rock
2009,Adam Lambert,For Your Entertainment,56.35,15,indie,Pop Rock
1979,Adam and the Ants,Dirk Wears White Sox,40.65,11,indie,New Wave
1979,Adam and the Ants,Dirk Wears White Sox,40.65,11,punk,Post-Punk
1980,Adam and the Ants,Kings of the Wild Frontier,46.45,12,indie,New Wave
1980,Adam and the Ants,Kings of the Wild Frontier,46.45,12,punk,Post-Punk
1981,Adam and the Ants,Prince Charming,37.35,10,indie,New Wave
1981,Adam and the Ants,Prince Charming,37.35,10,indie,Pop Rock
2010,Addaura,Addaura,36.6,4,metal,Black Metal
2009,Adelitas Way,Adelitas Way,40.58,11,indie,Alternative Rock
2001,Adema,Adema ,42.9,12,metal,Hard Rock
2001,Adema,Adema ,42.9,12,metal,Nu Metal
2003,Adema,Unstable,40.7,12,metal,Nu Metal
2005,Adema,Planets,72.97,17,metal,Nu Metal
2007,Adema,Kill the Headlights,39.4,12,metal,Nu Metal
2010,Adeste,In Parables,42.62,11,punk,Hardcore
2009,Admiral Angry,Buster,44.32,9,metal,Metalcore
1981,Adolescents,Adolescents,28.02,13,punk,Hardcore
1981,Adolescents,Adolescents,28.02,13,punk,Punk
1987,Adolescents,Brats in Battalions,35.38,13,punk,Hardcore
1987,Adolescents,Brats in Battalions,35.38,13,punk,Punk
1993,Adorable,Against Perfection,40.22,10,indie,Indie Rock
1984,Adrenalin O.D.,The Wacky Hi-Jinks Of Adrenalin O.D.,24.03,15,punk,Hardcore
1984,Adrenalin O.D.,The Wacky Hi-Jinks Of Adrenalin O.D.,24.03,15,punk,Punk
2008,Advent,Remove the Earth,45.02,10,punk,Hardcore
2009,Advent,Naked and Cold,41.92,13,punk,Hardcore
2005,Aeon Spoke,Above the Buried Cry,46.6,10,indie,Alternative Rock
2001,Aereogramme,A Story in White,45.52,10,indie,Alternative Rock
2003,Aereogramme,Sleep and Release,49.9,10,indie,Alternative Rock
2004,Aereogramme,Seclusion,32.0,9,classic,Art Rock
2004,Aereogramme,Seclusion,32.0,9,classic,Prog Rock
2007,Aereogramme,My Heart Has a Wish That You Would Not Go,47.22,10,classic,Prog Rock
2007,Aereogramme,My Heart Has a Wish That You Would Not Go,47.22,10,classic,Symphonic Rock
2007,Aereogramme,My Heart Has a Wish That You Would Not Go,47.22,10,indie,Alternative Rock
2007,Aereogramme,My Heart Has a Wish That You Would Not Go,47.22,10,indie,Indie Rock
1997,Aerial M,Aerial M,31.8,7,indie,Post Rock
1973,Aerosmith,Aerosmith,36.02,8,classic,Classic Rock
1973,Aerosmith,Aerosmith,36.02,8,roots,Blues Rock
1974,Aerosmith,Get Your Wings,38.07,8,classic,Classic Rock
1974,Aerosmith,Get Your Wings,38.07,8,metal,Hard Rock
1975,Aerosmith,Toys In The Attic,36.98,9,metal,Hard Rock
1975,Aerosmith,Toys In The Attic,36.98,9,roots,Blues Rock
1977,Aerosmith,Draw The Line,35.15,9,metal,Hard Rock
1978,Aerosmith,Live! Bootleg,79.47,18,classic,Classic Rock
1978,Aerosmith,Live! Bootleg,79.47,18,metal,Hard Rock
1978,Aerosmith,Live! Bootleg,79.47,18,roots,Blues Rock
1979,Aerosmith,Night In The Ruts,35.77,9,indie,Pop Rock
1979,Aerosmith,Night In The Ruts,35.77,9,metal,Hard Rock
1979,Aerosmith,Night In The Ruts,35.77,9,roots,Blues Rock
1982,Aerosmith,Rock In A Hard Place,40.28,10,metal,Hard Rock
1982,Aerosmith,Rock In A Hard Place,40.28,10,roots,Blues Rock
1985,Aerosmith,Done With Mirrors,32.03,8,classic,Classic Rock
1985,Aerosmith,Done With Mirrors,32.03,8,metal,Hard Rock
1986,Aerosmith,Classics Live,37.57,8,classic,Classic Rock
1986,Aerosmith,Classics Live,37.57,8,metal,Hard Rock
1986,Aerosmith,Classics Live,37.57,8,roots,Soft Rock
1987,Aerosmith,Permanent Vacation,51.77,12,metal,Hard Rock
1987,Aerosmith,Permanent Vacation,51.77,12,roots,Southern Rock
1989,Aerosmith,Pump,47.73,14,metal,Hard Rock
1993,Aerosmith,Get A Grip,62.0,14,metal,Hard Rock
1997,Aerosmith,Nine Lives,62.8,13,metal,Hard Rock
2001,Aerosmith,Just Push Play,50.42,12,metal,Hard Rock
2001,Aerosmith,Just Push Play,50.42,12,roots,Southern Rock
2004,Aerosmith,Honkin' On Bobo,43.95,12,metal,Hard Rock
2004,Aerosmith,Honkin' On Bobo,43.95,12,roots,Blues Rock
2005,Aerosmith,Rockin' The Joint,58.45,12,metal,Hard Rock
2010,Affiance,No Secret Revealed,39.48,10,punk,Hardcore
2009,After Midnight Project,Let's Build Something to Break,41.33,11,indie,Alternative Rock
2006,After the Burial,Forging a Future Self,30.52,9,metal,Death Metal
2008,After the Burial,Rareform,35.3,8,metal,Metalcore
2008,After the Burial,Rareform,35.3,8,metal,Progressive Metal
2010,After the Burial,In Dreams,34.55,8,metal,Metalcore
2010,After the Burial,In Dreams,34.55,8,metal,Progressive Metal
1994,Aftermath,Eyes of Tomorrow,55.82,11,metal,Thrash
1999,Aftershock,Through The Looking Glass,41.0,9,metal,Metalcore
1995,Against All Authority,Destroy What Destroys You,43.88,22,punk,Punk
1998,Against All Authority,All Fall Down,29.07,15,punk,Punk
2000,Against All Authority,24 Hour Roadside Resistance,34.17,14,punk,Punk
2006,Against All Authority,The Restoration of Chaos and Order,37.62,14,punk,Punk
2002,Against Me!,Reinventing Axl Rose,30.93,11,punk,Punk
