master_id,artist,title,album_length
0,Stray from the Path,People Over Profit,0.0
0,In Pieces,Lions Write History,0.0
2341150,Burden of a Day,Blessed Be Our Ever After,0.0
2237140,Turbid North,Orogeny,0.0
2201131,Blood Has Been Shed,Novella Of Uriel,0.0
407870,Loma Prieta,Dark Mountain,0.0
0,A Thorn For Every Heart,Things Aren't So Beautiful Now,0.0
404721,Latterman,...We Are Still Alive,0.0
0,Stray from the Path,Audio Prozac,0.0
295557,Rx Bandits,Mandala,52.77
1907658,Age Sixteen,"Open Up Finders, Please",0.0
286740,This Bike Is A Pipe Bomb,Dance Party With...,0.0
3384481,Forgive Durden,Wonderland,0.0
0,My Hero Is Me,The Crywolf Broadcast,0.0
3419971,Folly,Resist Convenience,0.0
200852,Akimbo,Forging Steel and Laying Stone,38.85
286891,Punch,Push Pull,0.0
2567321,In First Person,Lost Between Hands Held Tight,0.0
2533003,Math the Band,Banned the Math,1.43
286837,Candy Claws,Hidden Lands,45.28
0,Canvas Solaris,The Atomized Dream,0.0
0,Attila,Fallacy,34.38
0,Rosaline,The Vitality Theory,0.0
0,Your Best Friend,Your Best Friend,35.61
182452,Jim O'Rourke,The Visitor,38.06
421244,Verse,From Anger and Rage,0.0
310130,Aftershock,Through The Looking Glass,0.0
419778,Coke Bust,Lines In The Sand,0.0
184809,Yaphet Kotto,The Killer Was in the Government Blankets,33.04
281796,Verse,Aggression,27.57
0,Consider the Thief,Signs and Wonders,0.0
0,Ankla,Steep Trails,0.0
409260,Sound Tribe Sector 9,Peaceblaster,68.65
185001,Weekend Nachos,Punish and Destroy,52.15
410188,In Pieces,Learning to Accept Silence,0.0
0,Johnny Hobo and the Freight Trains,Love Songs For The Apocalypse,49.05
0,We Were Skeletons,Summers,0.0
0,Midsummer,Inside The Trees,0.0
301981,SQRM,Rodeo,0.0
440433,Infest,No Man's Slave,0.0
238620,This Bike Is A Pipe Bomb,Front Seat Solidarity,0.0
712315,Pillar,The Reckoning,47.87
493241,Spires,Flowers And Fireworks,28.36
490660,Outbreak,Failure,0.0
83682,Samothrace,Life's Trade,47.47
91062,His Hero Is Gone,Fifteen Counts Of Arson,32.69
91063,His Hero Is Gone,Monuments To Thieves,25.29
701904,Brazil,A Hostage and the Meaning of Life,0.0
364970,Set Your Goals,Mutiny!,29.57
345465,Life at These Speeds,Life at These Speeds,39.42
338869,Barcelona,Absolutes,54.93
339184,Owen,I do perceive.,0.0
777286,The State Lottery,Cities We're Not From,0.0
777174,Skeletonwitch,At One With the Shadows,0.0
813752,Automatic Loveletter,Truth or Dare,0.0
75284,Bone Awl,Meaningless Leaning Mess,42.35
136454,Overcast,Fight Ambition To Kill,0.0
765319,Ducktails,Landscapes,0.0
762062,Five Iron Frenzy,The End Is Near,99.74
217970,Omar Rodriguez-Lopez,Xenophanes,43.01
228409,Lifetime,Lifetime,23.48
575540,Autopilot Off,Looking Up,36.37
116747,Magrudergrind,Rehashed,21.65
