year,artist,title,rating,votes,album_length,tracks,avg_song_length,subgenre,style,country,city,state,state_pop
2007,*shels,Sea of the Dying Dhow,4.0,303,59.23,11,5.38,indie,Post Rock,United Kingdom,London,London,8855333
2007,*shels,Sea of the Dying Dhow,4.0,303,59.23,11,5.38,punk,Hardcore,United Kingdom,London,London,8855333
1973,10cc,10cc,3.75,30,35.23,10,3.52,classic,Art Rock,United Kingdom,Stockport,North West (England),7516113
1974,10cc,Sheet Music,3.88,41,37.79,10,3.78,classic,Art Rock,United Kingdom,Stockport,North West (England),7516113
1975,10cc,The Original Soundtrack,3.71,38,41.78,8,5.22,classic,Art Rock,United Kingdom,Stockport,North West (England),7516113
1976,10cc,How Dare You!,3.61,28,42.2,9,4.69,classic,Art Rock,United Kingdom,Stockport,North West (England),7516113
1976,10cc,How Dare You!,3.61,28,42.2,9,4.69,classic,Prog Rock,United Kingdom,Stockport,North West (England),7516113
1976,10cc,How Dare You!,3.61,28,42.2,9,4.69,indie,Pop Rock,United Kingdom,Stockport,North West (England),7516113
1977,10cc,Deceptive Bends,3.28,23,51.21,9,5.69,indie,Pop Rock,United Kingdom,Stockport,North West (England),7516113
2008,5ive,Hesperus,3.52,22,44.78,7,6.4,classic,Psychedelic Rock,United Kingdom,London,London,8855333
2008,5ive,Hesperus,3.52,22,44.78,7,6.4,metal,Stoner Rock,United Kingdom,London,London,8855333
2004,65daysofstatic,The Fall of Math,3.9,602,43.75,11,3.98,indie,Post Rock,United Kingdom,Sheffield,Yorkshire and The Humber,5541262
2005,65daysofstatic,One Time for All Time,3.91,515,37.13,9,4.13,indie,Post Rock,United Kingdom,Sheffield,Yorkshire and The Humber,5541262
2007,65daysofstatic,The Destruction of Small Ideas,3.71,343,62.27,12,5.19,indie,Post Rock,United Kingdom,Sheffield,Yorkshire and The Humber,5541262
2010,65daysofstatic,We Were Exploding Anyway,3.68,455,51.12,9,5.68,indie,Post Rock,United Kingdom,Sheffield,Yorkshire and The Humber,5541262
1976,801,801 Live,4.07,20,46.53,10,4.65,classic,Prog Rock,United Kingdom,London,London,8855333
1976,801,801 Live,4.07,20,46.53,10,4.65,classic,Art Rock,United Kingdom,London,London,8855333
2002,A,Hi-Fi Serious,2.92,56,45.5,12,3.79,punk,Grunge,United Kingdom,Ipswich,East,6398497
1997,A,How Ace Are Buildings,2.28,20,58.87,14,4.2,indie,Alternative Rock,United Kingdom,Ipswich,East,6398497
1997,A,How Ace Are Buildings,2.28,20,58.87,14,4.2,indie,Pop Rock,United Kingdom,Ipswich,East,6398497
1997,A,How Ace Are Buildings,2.28,20,58.87,14,4.2,punk,Punk,United Kingdom,Ipswich,East,6398497
1999,A,'A' Vs Monkey Kong,2.58,20,50.3,14,3.59,indie,Alternative Rock,United Kingdom,Ipswich,East,6398497
1999,A,'A' Vs Monkey Kong,2.58,20,50.3,14,3.59,indie,Pop Rock,United Kingdom,Ipswich,East,6398497
1999,A,'A' Vs Monkey Kong,2.58,20,50.3,14,3.59,punk,Punk,United Kingdom,Ipswich,East,6398497
2002,A,Hi-Fi Serious,2.92,56,45.5,12,3.79,indie,Alternative Rock,United Kingdom,Ipswich,East,6398497
1980,A Certain Ratio,The Graveyard and The Ballroom,3.52,24,45.77,16,2.86,indie,New Wave,United Kingdom,Flixton,North West (England),7516113
1981,A Certain Ratio,To Each...,3.5,36,46.17,9,5.13,indie,New Wave,United Kingdom,Flixton,North West (England),7516113
1982,A Certain Ratio,Sextet,3.54,24,36.87,9,4.1,indie,New Wave,United Kingdom,Flixton,North West (England),7516113
1982,A Flock of Seagulls,A Flock of Seagulls,3.65,112,40.7,11,3.7,indie,New Wave,United Kingdom,Liverpool,North West (England),7516113
1984,A Flock of Seagulls,The Story of a Young Heart,3.0,20,42.5,9,4.72,indie,Pop Rock,United Kingdom,Liverpool,North West (England),7516113
2010,A Forest of Stars,Opportunistic Thieves of Spring,3.61,64,72.17,6,12.03,metal,Black Metal,United Kingdom,Manchester,North West (England),7516113
2010,A Forest of Stars,Opportunistic Thieves of Spring,3.61,64,72.17,6,12.03,indie,Post Rock,United Kingdom,Manchester,North West (England),7516113
2008,A Silent Film,The City That Sleeps,3.8,20,45.47,11,4.13,indie,Pop Rock,United Kingdom,Oxford,South East (England),9379833
2008,A Silent Film,The City That Sleeps,3.8,20,45.47,11,4.13,indie,Indie Rock,United Kingdom,Oxford,South East (England),9379833
1988,A.R. Kane,69,3.2,42,40.46,10,4.05,indie,Shoegaze,United Kingdom,London,London,8855333
2006,Acoustic Ladyland,Skinny Grin,3.8,22,46.8,13,3.6,classic,Art Rock,United Kingdom,London,London,8855333
1997,Acrimony,Tumuli Shroomaroom,3.76,49,65.2,9,7.24,classic,Psychedelic Rock,United Kingdom,Swansea,Wales,3131640
1997,Acrimony,Tumuli Shroomaroom,3.76,49,65.2,9,7.24,metal,Stoner Rock,United Kingdom,Swansea,Wales,3131640
1979,Adam and the Ants,Dirk Wears White Sox,3.92,33,40.65,11,3.7,indie,New Wave,United Kingdom,London,London,8855333
1979,Adam and the Ants,Dirk Wears White Sox,3.92,33,40.65,11,3.7,punk,Post-Punk,United Kingdom,London,London,8855333
1980,Adam and the Ants,Kings of the Wild Frontier,3.81,68,46.45,12,3.87,indie,New Wave,United Kingdom,London,London,8855333
1980,Adam and the Ants,Kings of the Wild Frontier,3.81,68,46.45,12,3.87,punk,Post-Punk,United Kingdom,London,London,8855333
1981,Adam and the Ants,Prince Charming,3.62,34,37.35,10,3.74,indie,New Wave,United Kingdom,London,London,8855333
1981,Adam and the Ants,Prince Charming,3.62,34,37.35,10,3.74,indie,Pop Rock,United Kingdom,London,London,8855333
1993,Adorable,Against Perfection,3.47,46,40.22,10,4.02,indie,Indie Rock,United Kingdom,Coventry,West Midlands (England),6021653
2007,Aereogramme,My Heart Has a Wish That You Would Not Go,3.8,149,47.22,10,4.72,indie,Indie Rock,United Kingdom,Glasgow,Scotland,2683040
2007,Aereogramme,My Heart Has a Wish That You Would Not Go,3.8,149,47.22,10,4.72,indie,Alternative Rock,United Kingdom,Glasgow,Scotland,2683040
2007,Aereogramme,My Heart Has a Wish That You Would Not Go,3.8,149,47.22,10,4.72,classic,Symphonic Rock,United Kingdom,Glasgow,Scotland,2683040
2007,Aereogramme,My Heart Has a Wish That You Would Not Go,3.8,149,47.22,10,4.72,classic,Prog Rock,United Kingdom,Glasgow,Scotland,2683040
2004,Aereogramme,Seclusion,3.72,71,32.0,9,3.56,classic,Art Rock,United Kingdom,Glasgow,Scotland,2683040
2003,Aereogramme,Sleep and Release,3.92,102,49.9,10,4.99,indie,Alternative Rock,United Kingdom,Glasgow,Scotland,2683040
2001,Aereogramme,A Story in White,3.7,78,45.52,10,4.55,indie,Alternative Rock,United Kingdom,Glasgow,Scotland,2683040
2004,Aereogramme,Seclusion,3.72,71,32.0,9,3.56,classic,Prog Rock,United Kingdom,Glasgow,Scotland,2683040
2007,Akercocke,Antichrist,3.87,265,52.62,12,4.38,metal,Black Metal,United Kingdom,London,London,8855333
2001,Akercocke,The Goat of Mendes,3.62,156,61.1,13,4.7,metal,Black Metal,United Kingdom,London,London,8855333
2001,Akercocke,The Goat of Mendes,3.62,156,61.1,13,4.7,metal,Death Metal,United Kingdom,London,London,8855333
2003,Akercocke,Choronzon,3.86,224,51.43,12,4.29,metal,Black Metal,United Kingdom,London,London,8855333
2003,Akercocke,Choronzon,3.86,224,51.43,12,4.29,metal,Death Metal,United Kingdom,London,London,8855333
2007,Akercocke,Antichrist,3.87,265,52.62,12,4.38,metal,Death Metal,United Kingdom,London,London,8855333
1976,Al Stewart,Year of the Cat,3.94,51,38.57,9,4.29,indie,Pop Rock,United Kingdom,Glasgow,Scotland,2683040
2006,Alexi Murdoch,Time Without Consequence,3.8,68,59.58,11,5.42,roots,Folk Rock,United Kingdom,London,London,8855333
1984,Alien Sex Fiend,Acid Bath,3.58,46,44.98,8,5.62,indie,New Wave,United Kingdom,London,London,8855333
1988,All About Eve,All About Eve,3.73,22,60.05,14,4.29,indie,Alternative Rock,United Kingdom,London,London,8855333
1988,All About Eve,All About Eve,3.73,22,60.05,14,4.29,roots,Folk Rock,United Kingdom,London,London,8855333
1994,All Saints,All Saints,3.04,23,58.71,10,5.87,indie,Indie Rock,United Kingdom,London,London,8855333
2000,Allan Holdsworth,The Sixteen Men of Tain,4.19,42,44.45,8,5.56,classic,Prog Rock,United Kingdom,Bradford,Yorkshire and The Humber,5541262
2000,Allan Holdsworth,The Sixteen Men of Tain,4.19,42,44.45,8,5.56,classic,Art Rock,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1986,Allan Holdsworth,Atavachron,3.61,37,36.53,7,5.22,classic,Art Rock,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1982,Allan Holdsworth,I.O.U.,4.0,45,39.35,8,4.92,classic,Prog Rock,United Kingdom,Bradford,Yorkshire and The Humber,5541262
1983,Amebix,No Sanctuary,3.26,23,26.58,7,3.8,punk,Punk,United Kingdom,Tavistock,South West (England),5764881
1985,Amebix,Arise!,3.95,218,60.98,9,6.78,metal,Heavy Metal,United Kingdom,Tavistock,South West (England),5764881
1985,Amebix,Arise!,3.95,218,60.98,9,6.78,punk,Hardcore,United Kingdom,Tavistock,South West (England),5764881
1985,Amebix,Arise!,3.95,218,60.98,9,6.78,punk,Punk,United Kingdom,Tavistock,South West (England),5764881
1971,America,America,3.72,87,42.07,11,3.82,indie,Pop Rock,United Kingdom,London,London,8855333
1971,America,America,3.72,87,42.07,11,3.82,roots,Soft Rock,United Kingdom,London,London,8855333
1972,America,Homecoming,3.81,36,33.1,10,3.31,classic,Classic Rock,United Kingdom,London,London,8855333
1972,America,Homecoming,3.81,36,33.1,10,3.31,roots,Folk Rock,United Kingdom,London,London,8855333
1972,America,Homecoming,3.81,36,33.1,10,3.31,roots,Soft Rock,United Kingdom,London,London,8855333
2010,Amplifier,The Octopus,3.82,137,120.57,18,6.7,classic,Space Rock,United Kingdom,Manchester,North West (England),7516113
2010,Amplifier,The Octopus,3.82,137,120.57,18,6.7,classic,Prog Rock,United Kingdom,Manchester,North West (England),7516113
2010,Amplifier,The Octopus,3.82,137,120.57,18,6.7,indie,Alternative Rock,United Kingdom,Manchester,North West (England),7516113
2006,Amplifier,Insider,3.51,100,58.97,12,4.91,classic,Prog Rock,United Kingdom,Manchester,North West (England),7516113
2004,Amplifier,Amplifier,4.03,205,62.95,10,6.3,indie,Alternative Rock,United Kingdom,Manchester,North West (England),7516113
2006,Amplifier,Insider,3.51,100,58.97,12,4.91,metal,Hard Rock,United Kingdom,Manchester,North West (England),7516113
2006,Amusement Parks On Fire,Out Of The Angeles,3.91,44,57.71,10,5.77,indie,Shoegaze,United Kingdom,Nottingham,East Midlands (England),4934939
2006,Amusement Parks On Fire,Out Of The Angeles,3.91,44,57.71,10,5.77,indie,Alternative Rock,United Kingdom,Nottingham,East Midlands (England),4934939
2004,Amusement Parks On Fire,Amusement Parks On Fire,3.73,56,43.18,9,4.8,indie,Alternative Rock,United Kingdom,Nottingham,East Midlands (England),4934939
2004,Amusement Parks On Fire,Amusement Parks On Fire,3.73,56,43.18,9,4.8,indie,Shoegaze,United Kingdom,Nottingham,East Midlands (England),4934939
2007,Amy Macdonald,This Is The Life,3.8,91,38.98,10,3.9,roots,Folk Rock,United Kingdom,Bishopbriggs,Scotland,2683040
2010,Amy Macdonald,A Curious Thing,3.65,57,50.28,14,3.59,indie,Pop Rock,United Kingdom,Bishopbriggs,Scotland,2683040
2010,Amy Macdonald,A Curious Thing,3.65,57,50.28,14,3.59,roots,Soft Rock,United Kingdom,Bishopbriggs,Scotland,2683040
2001,Anaal Nathrakh,The Codex Necro,3.76,269,46.08,9,5.12,metal,Black Metal,United Kingdom,Birmingham,West Midlands (England),6021653
2001,Anaal Nathrakh,The Codex Necro,3.76,269,46.08,9,5.12,metal,Death Metal,United Kingdom,Birmingham,West Midlands (England),6021653
2004,Anaal Nathrakh,Domine Non Es Dignus,3.58,191,41.42,10,4.14,metal,Black Metal,United Kingdom,Birmingham,West Midlands (England),6021653
2004,Anaal Nathrakh,Domine Non Es Dignus,3.58,191,41.42,10,4.14,metal,Death Metal,United Kingdom,Birmingham,West Midlands (England),6021653
2006,Anaal Nathrakh,Eschaton,3.61,249,35.37,9,3.93,metal,Black Metal,United Kingdom,Birmingham,West Midlands (England),6021653
2006,Anaal Nathrakh,Eschaton,3.61,249,35.37,9,3.93,metal,Death Metal,United Kingdom,Birmingham,West Midlands (England),6021653
2009,Anaal Nathrakh,In the Constellation of the Black Widow,3.83,556,34.52,10,3.45,metal,Black Metal,United Kingdom,Birmingham,West Midlands (England),6021653
2003,Anathema,A Natural Disaster,3.92,839,55.38,10,5.54,classic,Prog Rock,United Kingdom,Liverpool,North West (England),7516113
2008,Anathema,Hindsight,3.98,250,52.68,10,5.27,classic,Prog Rock,United Kingdom,Liverpool,North West (England),7516113
2003,Anathema,A Natural Disaster,3.92,839,55.38,10,5.54,indie,Alternative Rock,United Kingdom,Liverpool,North West (England),7516113
1995,Anathema,The Silent Enigma,3.76,480,54.53,9,6.06,metal,Doom Metal,United Kingdom,Liverpool,North West (England),7516113
2010,Anathema,We're Here Because We're Here,4.08,1282,58.03,10,5.8,indie,Alternative Rock,United Kingdom,Liverpool,North West (England),7516113
2010,Anathema,We're Here Because We're Here,4.08,1282,58.03,10,5.8,metal,Heavy Metal,United Kingdom,Liverpool,North West (England),7516113
2001,Anathema,A Fine Day to Exit,3.77,652,49.9,9,5.54,metal,Heavy Metal,United Kingdom,Liverpool,North West (England),7516113
2010,Anathema,We're Here Because We're Here,4.08,1282,58.03,10,5.8,classic,Prog Rock,United Kingdom,Liverpool,North West (England),7516113
2001,Anathema,A Fine Day to Exit,3.77,652,49.9,9,5.54,indie,Alternative Rock,United Kingdom,Liverpool,North West (England),7516113
1993,Anathema,Serenades,3.53,360,65.69,9,7.3,metal,Doom Metal,United Kingdom,Liverpool,North West (England),7516113
1999,Anathema,Judgement,4.22,1193,54.3,13,4.18,classic,Psychedelic Rock,United Kingdom,Liverpool,North West (England),7516113
1999,Anathema,Judgement,4.22,1193,54.3,13,4.18,classic,Prog Rock,United Kingdom,Liverpool,North West (England),7516113
1998,Anathema,Alternative 4,4.05,838,44.97,10,4.5,indie,Alternative Rock,United Kingdom,Liverpool,North West (England),7516113
1998,Anathema,Alternative 4,4.05,838,44.97,10,4.5,classic,Prog Rock,United Kingdom,Liverpool,North West (England),7516113
1996,Anathema,Eternity,3.8,543,58.1,12,4.84,metal,Doom Metal,United Kingdom,Liverpool,North West (England),7516113
1995,Anathema,The Silent Enigma,3.76,480,54.53,9,6.06,metal,Death Metal,United Kingdom,Liverpool,North West (England),7516113
1993,Anathema,Serenades,3.53,360,65.69,9,7.3,metal,Death Metal,United Kingdom,Liverpool,North West (England),7516113
1999,Anathema,Judgement,4.22,1193,54.3,13,4.18,indie,Alternative Rock,United Kingdom,Liverpool,North West (England),7516113
1984,And Also The Trees,And Also the Trees,3.54,27,30.97,8,3.87,indie,New Wave,United Kingdom,Inkberrow,West Midlands (England),6021653
1984,And Also The Trees,And Also the Trees,3.54,27,30.97,8,3.87,punk,Post-Punk,United Kingdom,Inkberrow,West Midlands (England),6021653
1986,And Also The Trees,Virus Meadow,3.93,38,37.48,8,4.68,indie,New Wave,United Kingdom,Inkberrow,West Midlands (England),6021653
1988,And Also The Trees,The Millpond Years,4.07,23,47.8,11,4.35,indie,Indie Rock,United Kingdom,Inkberrow,West Midlands (England),6021653
2010,And So I Watch You From Afar,And So I Watch You From Afar,3.96,603,80.87,17,4.76,punk,Post-Hardcore,United Kingdom,Belfast,Northern Ireland,1910543
2010,And So I Watch You From Afar,And So I Watch You From Afar,3.96,603,80.87,17,4.76,indie,Post Rock,United Kingdom,Belfast,Northern Ireland,1910543
2010,And So I Watch You From Afar,And So I Watch You From Afar,3.96,603,80.87,17,4.76,indie,Alternative Rock,United Kingdom,Belfast,Northern Ireland,1910543
2007,And So I Watch You From Afar,This Is Our Machine And Nothing Can Stop It,3.67,33,26.4,5,5.28,classic,Prog Rock,United Kingdom,Belfast,Northern Ireland,1910543
2007,And So I Watch You From Afar,This Is Our Machine And Nothing Can Stop It,3.67,33,26.4,5,5.28,indie,Post Rock,United Kingdom,Belfast,Northern Ireland,1910543
2010,And So I Watch You From Afar,And So I Watch You From Afar,3.96,603,80.87,17,4.76,classic,Prog Rock,United Kingdom,Belfast,Northern Ireland,1910543
1989,Anderson Bruford Wakeman Howe,Anderson Bruford Wakeman Howe,3.28,51,59.35,9,6.59,classic,Art Rock,United Kingdom,London,London,8855333
1989,Anderson Bruford Wakeman Howe,Anderson Bruford Wakeman Howe,3.28,51,59.35,9,6.59,classic,Prog Rock,United Kingdom,London,London,8855333
1989,Anderson Bruford Wakeman Howe,Anderson Bruford Wakeman Howe,3.28,51,59.35,9,6.59,classic,Symphonic Rock,United Kingdom,London,London,8855333
1980,Angel Witch,Angel Witch,3.97,311,37.95,10,3.8,metal,Heavy Metal,United Kingdom,London,London,8855333
1986,Angel Witch,Frontal Assault,2.74,35,41.23,9,4.58,metal,Heavy Metal,United Kingdom,London,London,8855333
2007,Annie Lennox,Songs Of Mass Destruction,3.58,20,46.92,11,4.27,indie,Pop Rock,United Kingdom,Aberdeen,Scotland,2683040
2007,Annie Lennox,Songs Of Mass Destruction,3.58,20,46.92,11,4.27,roots,Soft Rock,United Kingdom,Aberdeen,Scotland,2683040
2010,Annotations Of An Autopsy,II: The Reign of Darkness,2.88,160,45.77,13,3.52,metal,Death Metal,United Kingdom,Lowestoft,East,6398497
2008,Annotations Of An Autopsy,Before the Throne of Infection,2.27,193,30.9,10,3.09,metal,Death Metal,United Kingdom,Lowestoft,East,6398497
1977,Anthony Phillips,The Geese and the Ghost,4.09,44,19.48,8,2.44,roots,Folk Rock,United Kingdom,Chiswick,London,8855333
1977,Anthony Phillips,The Geese and the Ghost,4.09,44,19.48,8,2.44,classic,Art Rock,United Kingdom,Chiswick,London,8855333
2003,Antimatter,Lights Out,3.63,69,52.85,9,5.87,classic,Art Rock,United Kingdom,Liverpool,North West (England),7516113
2007,Antimatter,Leaving Eden,3.85,130,47.73,9,5.3,indie,Alternative Rock,United Kingdom,Liverpool,North West (England),7516113
2000,Apartment 26,Hallucinating,2.75,22,50.0,26,1.92,metal,Nu Metal,United Kingdom,Royal Leamington Spa,West Midlands (England),6021653
2005,Aqualung,Strange and Beautiful,3.61,42,48.42,12,4.04,indie,Pop Rock,United Kingdom,Southampton,South East (England),9379833
2005,Aqualung,Strange and Beautiful,3.61,42,48.42,12,4.04,roots,Soft Rock,United Kingdom,Southampton,South East (England),9379833
1996,Arab Strap,The Week Never Starts Round Here,3.52,31,49.32,13,3.79,indie,Indie Rock,United Kingdom,Falkirk,Scotland,2683040
1998,Arab Strap,Philophobia,3.88,96,65.73,13,5.06,indie,Alternative Rock,United Kingdom,Falkirk,Scotland,2683040
1998,Arab Strap,Philophobia,3.88,96,65.73,13,5.06,indie,Indie Rock,United Kingdom,Falkirk,Scotland,2683040
1999,Arab Strap,Elephant Shoe,3.78,51,56.86,11,5.17,indie,Alternative Rock,United Kingdom,Falkirk,Scotland,2683040
1999,Arab Strap,Elephant Shoe,3.78,51,56.86,11,5.17,indie,Indie Rock,United Kingdom,Falkirk,Scotland,2683040
2001,Arab Strap,The Red Thread,3.91,48,56.92,10,5.69,indie,Indie Rock,United Kingdom,Falkirk,Scotland,2683040
2003,Arab Strap,Monday at the Hug and Pint,3.79,36,45.78,13,3.52,indie,Indie Rock,United Kingdom,Falkirk,Scotland,2683040
2005,Arab Strap,The Last Romance,3.29,35,35.9,10,3.59,indie,Indie Rock,United Kingdom,Falkirk,Scotland,2683040
1985,Arcadia,So Red the Rose,3.59,22,43.83,9,4.87,classic,Art Rock,United Kingdom,London,London,8855333
1985,Arcadia,So Red the Rose,3.59,22,43.83,9,4.87,indie,New Wave,United Kingdom,London,London,8855333
2010,Arcane Roots,Left Fire,3.83,123,33.01,8,4.13,indie,Alternative Rock,United Kingdom,Kingston upon Thames,London,8855333
2006,Architects,Nightmares,3.56,745,30.35,8,3.79,metal,Heavy Metal,United Kingdom,Brighton,South East (England),9379833
2006,Architects,Nightmares,3.56,745,30.35,8,3.79,metal,Metalcore,United Kingdom,Brighton,South East (England),9379833
2006,Architects,Nightmares,3.56,745,30.35,8,3.79,punk,Hardcore,United Kingdom,Brighton,South East (England),9379833
2007,Architects,Ruin,3.58,804,39.03,11,3.55,punk,Hardcore,United Kingdom,Brighton,South East (England),9379833
2009,Architects,Hollow Crown,3.77,1619,41.18,12,3.43,punk,Hardcore,United Kingdom,Brighton,South East (England),9379833
2001,Archive,You All Look The Same To Me,3.89,102,66.68,8,8.34,indie,Alternative Rock,United Kingdom,London,London,8855333
2006,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",3.98,3151,40.15,13,3.09,indie,Indie Rock,United Kingdom,Sheffield,Yorkshire and The Humber,5541262
2007,Arctic Monkeys,Favourite Worst Nightmare,3.77,2242,37.57,12,3.13,indie,Alternative Rock,United Kingdom,Sheffield,Yorkshire and The Humber,5541262
2007,Arctic Monkeys,Favourite Worst Nightmare,3.77,2242,37.57,12,3.13,indie,Indie Rock,United Kingdom,Sheffield,Yorkshire and The Humber,5541262
2009,Arctic Monkeys,Humbug,3.51,1519,38.68,10,3.87,indie,Indie Rock,United Kingdom,Sheffield,Yorkshire and The Humber,5541262
1998,Arena,The Visitor,3.98,51,61.62,14,4.4,classic,Prog Rock,United Kingdom,Virginia Water,South East (England),9379833
2000,Arena,Immortal?,3.75,30,55.31,7,7.9,classic,Prog Rock,United Kingdom,Virginia Water,South East (England),9379833
2003,Arena,Contagion,4.04,38,58.8,16,3.68,classic,Prog Rock,United Kingdom,Virginia Water,South East (England),9379833
1981,Art Bears,The World As It Is Today,3.89,54,31.72,11,2.88,classic,Prog Rock,United Kingdom,London,London,8855333
1981,Art Bears,The World As It Is Today,3.89,54,31.72,11,2.88,classic,Art Rock,United Kingdom,London,London,8855333
1978,Art Bears,Hopes and Fears,3.83,54,97.0,15,6.47,classic,Prog Rock,United Kingdom,London,London,8855333
1978,Art Bears,Hopes and Fears,3.83,54,97.0,15,6.47,classic,Art Rock,United Kingdom,London,London,8855333
1979,Art Bears,Winter Songs,3.92,45,32.98,14,2.36,classic,Art Rock,United Kingdom,London,London,8855333
2005,Art Brut,Bang Bang Rock and Roll,3.61,92,35.9,13,2.76,indie,Indie Rock,United Kingdom,London,London,8855333
2005,Art Brut,Bang Bang Rock and Roll,3.61,92,35.9,13,2.76,punk,Post-Punk,United Kingdom,London,London,8855333
2007,Art Brut,It's a Bit Complicated,3.19,36,34.0,11,3.09,indie,Indie Rock,United Kingdom,London,London,8855333
2009,Art Brut,Art Brut vs. Satan,3.13,35,40.93,11,3.72,indie,Indie Rock,United Kingdom,London,London,8855333
1969,Arzachel,Arzachel,3.74,31,44.25,6,7.38,classic,Prog Rock,United Kingdom,London,London,8855333
1969,Arzachel,Arzachel,3.74,31,44.25,6,7.38,classic,Psychedelic Rock,United Kingdom,London,London,8855333
2001,Ash,Free All Angels,3.68,96,48.42,13,3.72,indie,Indie Rock,United Kingdom,Downpatrick,Northern Ireland,1910543
2007,Ash,Twilight Of The Innocents,3.1,35,51.43,12,4.29,indie,Pop Rock,United Kingdom,Downpatrick,Northern Ireland,1910543
2007,Ash,Twilight Of The Innocents,3.1,35,51.43,12,4.29,indie,Indie Rock,United Kingdom,Downpatrick,Northern Ireland,1910543
2004,Ash,Meltdown,3.53,95,42.28,11,3.84,indie,Pop Rock,United Kingdom,Downpatrick,Northern Ireland,1910543
2004,Ash,Meltdown,3.53,95,42.28,11,3.84,indie,Alternative Rock,United Kingdom,Downpatrick,Northern Ireland,1910543
2001,Ash,Free All Angels,3.68,96,48.42,13,3.72,indie,Pop Rock,United Kingdom,Downpatrick,Northern Ireland,1910543
1996,Ash,1977,3.69,107,62.42,14,4.46,indie,Pop Rock,United Kingdom,Downpatrick,Northern Ireland,1910543
1998,Ash,Nu-Clear Sounds,3.0,48,46.13,11,4.19,indie,Indie Rock,United Kingdom,Downpatrick,Northern Ireland,1910543
1996,Ash,1977,3.69,107,62.42,14,4.46,indie,Indie Rock,United Kingdom,Downpatrick,Northern Ireland,1910543
1994,Ash,Trailer,3.25,38,24.2,9,2.69,indie,Indie Rock,United Kingdom,Downpatrick,Northern Ireland,1910543
1994,Ash,Trailer,3.25,38,24.2,9,2.69,indie,Alternative Rock,United Kingdom,Downpatrick,Northern Ireland,1910543
1998,Ash,Nu-Clear Sounds,3.0,48,46.13,11,4.19,indie,Pop Rock,United Kingdom,Downpatrick,Northern Ireland,1910543
2000,Asia,Aura,2.18,25,64.47,11,5.86,classic,Prog Rock,United Kingdom,London,London,8855333
1996,Asia,Arena,2.55,28,63.8,12,5.32,roots,Soft Rock,United Kingdom,London,London,8855333
2000,Asia,Aura,2.18,25,64.47,11,5.86,indie,Pop Rock,United Kingdom,London,London,8855333
1996,Asia,Arena,2.55,28,63.8,12,5.32,indie,Pop Rock,United Kingdom,London,London,8855333
2004,Asia,Silent Nation,2.41,28,58.15,10,5.82,indie,Pop Rock,United Kingdom,London,London,8855333
2008,Asia,Phoenix,2.87,27,64.9,12,5.41,classic,Prog Rock,United Kingdom,London,London,8855333
2010,Asia,Omega,2.62,29,61.75,12,5.15,indie,Pop Rock,United Kingdom,London,London,8855333
2000,Asia,Aura,2.18,25,64.47,11,5.86,roots,Soft Rock,United Kingdom,London,London,8855333
1996,Asia,Arena,2.55,28,63.8,12,5.32,classic,Prog Rock,United Kingdom,London,London,8855333
2004,Asia,Silent Nation,2.41,28,58.15,10,5.82,classic,Prog Rock,United Kingdom,London,London,8855333
1992,Asia,Aqua,2.71,29,60.15,13,4.63,metal,Hard Rock,United Kingdom,London,London,8855333
1982,Asia,Asia,3.42,182,43.9,9,4.88,indie,Pop Rock,United Kingdom,London,London,8855333
1983,Asia,Alpa,3.12,92,45.0,10,4.5,classic,Symphonic Rock,United Kingdom,London,London,8855333
1994,Asia,Aria,2.54,24,47.53,11,4.32,indie,Pop Rock,United Kingdom,London,London,8855333
1982,Asia,Asia,3.42,182,43.9,9,4.88,classic,Prog Rock,United Kingdom,London,London,8855333
1985,Asia,Astra,2.88,52,44.72,10,4.47,classic,Prog Rock,United Kingdom,London,London,8855333
1985,Asia,Astra,2.88,52,44.72,10,4.47,classic,Symphonic Rock,United Kingdom,London,London,8855333
1992,Asia,Aqua,2.71,29,60.15,13,4.63,indie,Pop Rock,United Kingdom,London,London,8855333
1983,Asia,Alpa,3.12,92,45.0,10,4.5,indie,Pop Rock,United Kingdom,London,London,8855333
2009,Asking Alexandria,Stand Up and Scream,2.54,1939,48.22,13,3.71,metal,Metalcore,United Kingdom,York,Yorkshire and The Humber,5541262
2003,Athlete,Vehicles and Animals,3.45,32,45.38,12,3.78,indie,Alternative Rock,United Kingdom,Deptford,London,8855333
2003,Athlete,Vehicles and Animals,3.45,32,45.38,12,3.78,indie,Indie Rock,United Kingdom,Deptford,London,8855333
2005,Athlete,Tourist,3.08,50,46.25,11,4.2,indie,Alternative Rock,United Kingdom,Deptford,London,8855333
2005,Athlete,Tourist,3.08,50,46.25,11,4.2,indie,Indie Rock,United Kingdom,Deptford,London,8855333
2007,Athlete,Beyond The Neighbourhood,2.98,32,45.53,11,4.14,indie,Indie Rock,United Kingdom,Deptford,London,8855333
2007,Athlete,Beyond The Neighbourhood,2.98,32,45.53,11,4.14,indie,Pop Rock,United Kingdom,Deptford,London,8855333
1972,Atomic Rooster,Made In England,3.17,21,40.77,11,3.71,classic,Prog Rock,United Kingdom,London,London,8855333
