artist,title,album_length
Infest,No Man's Slave,
International Superheroes of Hardcore,Takin' It Ova!,
Iron Maiden,A Real Live One,58:49
Iron Maiden,Visions Of The Beast,
Jack Off Jill,Sexless Demons and Scars,40:13
Jag Panzer,Chain of Command,
Jaguar,Power Games,
Jan Dukes de Grey,Mice and Rats in the Loft,
Janus,Red Right Return,
Jethro Tull,Stand Up,
Jim O'Rourke,The Visitor,
Jimi Hendrix,Crash Landing,
Joan of Arc,"Eventually, All at Once",36:47
Joe Bonamassa,"So, It's Like That",61:54
Joe Satriani,Satriani Live!,128:28
Joe Strummer and The Mescaleros,Streetcore,41:39
John Cale,Slow Dazzle,
John Fahey,Fare Forward Voyagers (Soldier's Choice),44:13
Johnny Hobo and the Freight Trains,Love Songs For The Apocalypse,
Jon Anderson,Olias Of Sunhillow,
Jon Anderson,Olias Of Sunhillow,
Jonas Brothers,It's About Time,
Julia,Julia,
June of 44,Tropics and Meridians,36:45
Kaddish,Kaddish,
Kaleidoscope,Tangerine Dream,
Karate High School,Arcade Rock,
Karp,Suplex,
Khan,Space Shanty,46:0354:02 (Bonus tracks)
Lair of the Minotaur,The Ultimate Destroyer,
Latterman,...We Are Still Alive,
Leviathan,The Blind Wound,
Liars,Drum's Not Dead,47:29
Life at These Speeds,Life at These Speeds,
Lifetime,Background,
Lifetime,Lifetime,
Loma Prieta,Dark Mountain,
Long Beach Dub Allstars,Right Back,
Lucero,1372 Overton Park,
Macabre,Grim Reality,
Macabre,Gloom,
Magazine,Secondhand Daylight,42:33
Magrudergrind,Rehashed,
Manowar,Battle Hymns MMXI,36:05
Margot and the Nuclear So and So's,Animal!,
Marissa Nadler,Ballads of Living and Dying,36:41
Math the Band,Banned the Math,
Megadeth,Rust in Peace Live,73:54
Melvins,Lysol,
Miasma and The Carousel of Headless Horses,Perils,
Midsummer,Inside The Trees,
Modern Life Is War,My Love. My Way.,24:00
My Dad Is Dead,"The Taller You Are, the Shorter You Get",82:58 (LP)72:04 (CD)
My Hero Is Me,The Crywolf Broadcast,
Nerves,Nerves,
Neutral Milk Hotel,On Avery Island,47:58
New Model Army,Thunder and Consolation,44:40
New Order,"Power, Corruption and Lies",42:34
Nights Like These,Sunlight at Secondhand,41:30
Nile,Festivals Of Atonement,42:19
Nora,Dreamers and Deadmen,
Nuclear Death,All Creatures Great and Eaten,
Nucleus (UK),Elastic Rock,40:46
Nucleus (UK),We'll Talk About It Later,
Off Minor,The Heat Death of the Universe,22:51
Off Minor,Some Blood,22:00
Omar Rodriguez-Lopez,Old Money,
Omar Rodriguez-Lopez,Xenophanes,
Omen,Warning of Danger,40:59
Omen,The Curse,
Order From Chaos,An Ending In Fire,
Other Lives,Other Lives,
Outbreak,Failure,
Overcast,Fight Ambition To Kill,
Owen,I do perceive.,
Owls,Owls,
PIG,Praise The Lard,
Paper Tongues,Paper Tongues,
Park,Scene 14,
Past Lives,Tapestry of Webs,46:01
Paul Baribeau,Grand Ledge,
Pendragon,Pure,
Pere Ubu,Cloudland,
Peter Criss,Let Me Rock You,37:30
Peter Criss,One For All,
Pillar,The Reckoning,
Pinback,Blue Screen Life,51:08
Polvo,In Prism,49:22
Procol Harum,Exotic Birds and Fruit,37:00
Prong,Force Fed,29:15
Prototype,Trinity,
Psychic TV,Force The Hand Of Chance,47:01
Punch,Push Pull,
Queen,Live Magic,47:10 (LP)49:22 (CD)
Quiet Riot,Guilty Pleasures,
Rapeman,Two Nuns and a Pack Mule,Original release: 29:11Re-release: 43:55
Red Krayola,The Parable of Arable Land,41:17
Reel Big Fish,"Fame, Fortune and Fornication",28:34
Relient K,Five Score and Seven Years Ago,51:12
Rich Kids on LSD,Keep Laughing,
Rich Kids on LSD,Riches to Rags,
Ride,Ride,
Ringo Starr,Ringo's Rotogravure,34:23
Roger Waters,The Pros and Cons of Hitch Hiking,
