artist,title,album_length
Stray from the Path,Audio Prozac,
Stray from the Path,Our Oceania,
Strictly Ballroom,Hide Here Forever,
Sweep the Leg Johnny,Going Down Swingin',
Takaru,There Can Be Only None,
Tank,Honour And Blood,
Tar,Jackson,
The Arrogant Sons of Bitches,Built to Fail,
The Atomic Bitchwax,The Atomic Bitchwax II,
The Breathing Process,Odyssey: (Un)dead,
The Company Band,The Company Band,37:49
The Comsat Angels,Waiting for a Miracle,37:31
The Comsat Angels,Sleep No More,
The Comsat Angels,Fiction,
The Courteeners,St. Jude,38:38
The Courteeners,Falcon,49:20
The Creatures,Boomerang,
The Dismemberment Plan,!,
The Fall,Shift-Work,46:00 (LP)51:54 (CD)
The Gates Of Slumber,Hymns of Blood and Thunder,
The Jimi Hendrix Experience,Are You Experienced,
The Killing Tree,The Romance of Helen Trent,52:15
The Locust,The Locust,17:42
The Mekons,Fear And Whiskey,
The Mighty Mighty Bosstones,Devils Night Out,
The Mountain Goats,Taboo VI: The Homecoming,
The Mountain Goats,The Hound Chronicles,
The Mountain Goats,Hot Garden Stomp,
The Nation of Ulysses,13-Point Program To Destroy America,
The Sidekicks,Weight of Air,
The State Lottery,Cities We're Not From,
Therapy?,Babyteeth,
This Bike Is A Pipe Bomb,Dance Party With...,
This Bike Is A Pipe Bomb,Front Seat Solidarity,
Tool,72826,
Tragedy,Vengeance,
Tragedy,Nerve Damage,
Treepeople,Guilt Regret Embarrassment,
Turbid North,Orogeny,
Tygers Of Pan Tang,Wild Cat,
Uriah Heep,...Very 'Eavy Very 'Umble...,
Valencia,Dancing With A Ghost,
Valium Aggelein,Hier Kommt der Schwartze Mond,
Van Halen,Live Without A Net,41:23 (Disc one)39:32 (Disc two)80:56 (Total)
Verbal Abuse,Just An American Band,
Verse,From Anger and Rage,
Verse,Aggression,
W.A.S.P.,The Last Command,41:19
War of Ages,War of Ages,41:45
We Were Skeletons,Summers,
Weekend,Sports,
Weekend Nachos,Punish and Destroy,
Wings,Venus and Mars,
Wishbone Ash,New England,
Witchfinder General,Resurrected,42:26
Wrath and Rapture,Wrath and Rapture,
Yaphet Kotto,The Killer Was in the Government Blankets,
Yo La Tengo,Ride the Tiger,38:06
You and I,The Curtain Falls,
Your Best Friend,Your Best Friend,
pg.99,Document #8,
