city,state,population
Duluth,Minnesota,119476
Rock Hill,South Carolina,119105
Cambridge,Massachusetts,118927
Iowa City,Iowa,118041
Saginaw,Michigan,117958
Chico,California,117668
Clearwater,Florida,116946
Brandon,Florida,115911
Bloomington,Indiana,115884
Temecula,California,114761
Clovis,California,114584
Costa Mesa,California,113003
Monroe,Louisiana,112891
Pompano Beach,Florida,112118
West Palm Beach,Florida,111955
Waterloo,Iowa,111631
Everett,Washington,111475
El Centro,California,111425
Santa Fe,New Mexico,111269
Downey,California,111126
Lowell,Massachusetts,110997
Elgin,Illinois,110849
Burlington,Vermont,109763
Eau Claire,Wisconsin,107404
Turlock,California,107317
Temple,Texas,107258
Sioux City,Iowa,106455
Salisbury,Maryland,106447
West Covina,California,105101
Wichita Falls,Texas,104683
San Mateo,California,104430
El Cajon,California,102708
Burbank,California,102511
Vista,California,101638
Vacaville,California,101444
Carmel,Indiana,101068
San Angelo,Texas,101004
Charlottesville,Virginia,100416
Boca Raton,Florida,99805
Beaverton,Oregon,99037
Lawrence,Kansas,98648
Orem,Utah,97828
Federal Way,Washington,96289
Mandeville,Louisiana,95968
Bowling Green,Kentucky,95135
Quincy,Massachusetts,94470
Chino,California,94371
Lynn,Massachusetts,94299
Hanford,California,94028
Dearborn,Michigan,93932
Livonia,Michigan,93665
South Gate,California,93444
Florence,South Carolina,93131
Portsmouth,New Hampshire,93069
Lawton,Oklahoma,93025
Kirkland,Washington,93010
Missoula,Montana,92895
Auburn,Alabama,92777
Blacksburg,Virginia,91888
Santa Monica,California,90401
New Braunfels,Texas,90209
Norwalk,Connecticut,88816
Newton,Massachusetts,88414
State College,Pennsylvania,87723
Hawthorne,California,86068
Anderson,Indiana,85992
Redwood City,California,85925
Lake Forest,California,85531
Whittier,California,85098
Newport Beach,California,84534
Joplin,Missouri,84048
Chino Hills,California,83853
Alhambra,California,83750
Franklin,Tennessee,83097
Melbourne,Florida,83029
Pleasanton,California,81777
Silver Spring,Maryland,81773
Cranston,Rhode Island,81456
Somerville,Massachusetts,81360
Williamsburg,Virginia,80441
Valdosta,Georgia,79820
New Rochelle,New York,78557
Layton,Utah,78014
Upland,California,77140
Davis,California,76997
San Marcos,Texas,76218
Oshkosh,Wisconsin,75536
Waldorf,Maryland,75489
Kendall,Florida,75312
Conway,Arkansas,74951
Gary,Indiana,74879
Lodi,California,74773
Jackson,Tennessee,74065
Evanston,Illinois,73473
Ellicott City,Maryland,72665
Dale City,Virginia,72627
