artist,country,city,latitude,longitude,address,state,state_pop
Of Machines,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Red House Painters,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
"Right Away, Great Captain!",United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Sevendust,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Stereomud,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Stuck Mojo,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
The Black Crowes,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
The Rise of Science,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
The Wild,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Withered,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
"Woe, Is Me",United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Zoroaster,United States,Atlanta,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States",Georgia,6506531
Hot Rod Circuit,United States,Auburn,32.6098566,-85.4807825,"Auburn, Lee County, Alabama, United States",Alabama,4048508
If Hope Dies,United States,Auburn,42.9320202,-76.5672029,"City of Auburn, Cayuga County, New York, 13021, United States",New York,18002855
Manowar,United States,Auburn,42.9320202,-76.5672029,"City of Auburn, Cayuga County, New York, 13021, United States",New York,18002855
Men As Trees,United States,Auburn Hills,42.6875323,-83.2341028,"Auburn Hills, Oakland County, Michigan, 48326, United States",Michigan,9310462
Mortal Decay,United States,Audubon,39.8909466,-75.0729504,"Audubon, Camden County, New Jersey, 08106, United States",New Jersey,7757158
Dixie Dregs,United States,Augusta,33.4709714,-81.9748429,"Augusta, Richmond County, Georgia, United States",Georgia,6506531
Last Chance to Reason,United States,Augusta,44.3169922,-69.7734278,"Augusta, Kennebec County, Maine, 04330, United States",Maine,1231296
Veara,United States,Augusta,33.4709714,-81.9748429,"Augusta, Richmond County, Georgia, United States",Georgia,6506531
Trouble,United States,Aurora,41.7571701,-88.3147539,"Aurora, Aurora Township, Kane County, Illinois, United States",Illinois,11446979
...And You Will Know Us by the Trail of Dead,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
At All Cost,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Averse Sefira,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Balmorhea,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Dangerous Toys,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Eric Johnson,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Explosions in the Sky,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Eyes Adrift,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Fastball,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Hatred Surge,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
I Love You But I've Chosen Darkness,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Iron Age,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
MDC,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Mammoth Grinder,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Mineral,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Mother Tongue,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Okkervil River,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Pompeii,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Pop Unknown,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Scratch Acid,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Shearwater,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Skrew,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Spoon,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Sun Araw,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
The American Analog Set,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
The Black,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
The Black Angels,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
The Calm Blue Sea,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
The Gloria Record,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
The Jesus Lizard,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
The Octopus Project,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
The Sword,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Total Abuse,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Voxtrot,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Watchtower,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
White Denim,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States",Texas,17044714
Memento,United States,Australia/United States,38.26083395,-104.659511365206,"Australia, Pueblo, Pueblo County, Colorado, United States",Colorado,3303862
The Irish Front,United States,Avondale,33.4355977,-112.349602,"Avondale, Maricopa County, Arizona, United States",Arizona,3679056
Malfunkshun,United States,Bainbridge Island,47.6262688,-122.520942,"Bainbridge Island, Kitsap County, Washington, 98110, United States",Washington,4900780
Adema,United States,Bakersfield,35.3738712,-119.019463,"Bakersfield, Kern County, California, United States",California,29950111
Korn,United States,Bakersfield,35.3738712,-119.019463,"Bakersfield, Kern County, California, United States",California,29950111
The Pine,United States,Bakersfield,35.3738712,-119.019463,"Bakersfield, Kern County, California, United States",California,29950111
Videodrone,United States,Bakersfield,35.3738712,-119.019463,"Bakersfield, Kern County, California, United States",California,29950111
Bomb the Music Industry!,United States,Baldwin,40.6534835,-73.61135018709416,"Baldwin, Town of Hempstead, Nassau County, New York, 11510, United States",New York,18002855
Crumbsuckers,United States,Baldwin,40.6534835,-73.61135018709416,"Baldwin, Town of Hempstead, Nassau County, New York, 11510, United States",New York,18002855
Straylight Run,United States,Baldwin,40.6534835,-73.61135018709416,"Baldwin, Town of Hempstead, Nassau County, New York, 11510, United States",New York,18002855
Thorr's Hammer,United States,Ballard,47.6765073,-122.3862233,"Ballard, Seattle, King County, Washington, 98127, United States",Washington,4900780
Age Sixteen,United States,Baltimore,39.2908816,-76.610759,"Baltimore, Maryland, United States",Maryland,4797431
