artist,country,city,latitude,longitude,address
Blind Faith,United Kingdom,Ripley,51.3002078,-0.4926788,"Ripley, Guildford, Surrey, England, United Kingdom"
Van Halen,United States,Pasadena,34.1476507,-118.144155,"Pasadena, Los Angeles County, California, United States"
Sugarcult,United States,Santa Barbara,34.4221319,-119.702667,"Santa Barbara, Santa Barbara County, California, United States"
Devo,United States,Akron,41.083064,-81.518485,"Akron, Summit County, Ohio, United States"
Sum 41,Canada,Ajax,43.8505287,-79.0208814,"Ajax, Durham Region, Golden Horseshoe, Ontario, Canada"
Fall Out Boy,United States,Wilmette,42.0757315,-87.7193768,"Wilmette, New Trier Township, Cook County, Illinois, 60091, United States"
R.E.M.,United States,Athens,33.9597677,-83.376398,"Athens, Clarke County, Georgia, United States"
Steve Vai,United States,Carle Place,40.750055,-73.61182581359841,"Carle Place, Town of North Hempstead, Nassau County, New York, 11514, United States"
MC5,United States,Lincoln Park,42.2505943,-83.1785361,"Lincoln Park, Wayne County, Michigan, 48146, United States"
Taking Back Sunday,United States,Amityville,40.6789893,-73.4170673,"Village of Amityville, Town of Babylon, Suffolk County, New York, United States"
Oasis,United Kingdom,Manchester,53.4794892,-2.2451148,"Manchester, Greater Manchester, England, United Kingdom"
Lynyrd Skynyrd,United States,Jacksonville,30.3321838,-81.655651,"Jacksonville, Duval County, Florida, United States"
Clinic,United Kingdom,Crosby,53.4844386,-3.0291758,"Crosby, Sefton, Liverpool City Region, England, L23 3DL, United Kingdom"
The Allman Brothers Band,United States,Jacksonville,30.3321838,-81.655651,"Jacksonville, Duval County, Florida, United States"
Iced Earth,United States,Tampa,27.9477595,-82.458444,"Tampa, Hillsborough County, Florida, United States"
Phish,United States,Burlington,44.4761601,-73.212906,"Burlington, Chittenden County, Vermont, United States"
Electric Six,United States,Detroit,42.3315509,-83.0466403,"Detroit, Wayne County, Michigan, United States"
