artist,city,state,population
HEALTH,Los Angeles,California,12750807
Them Crooked Vultures,Los Angeles,California,12750807
ALL,Los Angeles,California,12750807
Wicked Wisdom,Los Angeles,California,12750807
Mt. Helium,Los Angeles,California,12750807
Big Time Rush,Los Angeles,California,12750807
Wand,Los Angeles,California,12750807
Ancestors,Los Angeles,California,12750807
The Bird And The Bee,Los Angeles,California,12750807
OPM,Los Angeles,California,12750807
Under the Influence of Giants,Los Angeles,California,12750807
L.A. Guns,Los Angeles,California,12750807
Deliverance,Los Angeles,California,12750807
Youngblood Hawke,Los Angeles,California,12750807
Warrant,Los Angeles,California,12750807
Neon Horse,Los Angeles,California,12750807
Emilie Autumn,Los Angeles,California,12750807
El Ten Eleven,Los Angeles,California,12750807
Vinnie Vincent Invasion,Los Angeles,California,12750807
Love/Hate,Los Angeles,California,12750807
Kara's Flowers,Los Angeles,California,12750807
Capital Cities,Los Angeles,California,12750807
downset.,Los Angeles,California,12750807
A Perfect Circle,Los Angeles,California,12750807
John Maus,Los Angeles,California,12750807
World Under Blood,Los Angeles,California,12750807
Admiral Angry,Los Angeles,California,12750807
Colleen Green,Los Angeles,California,12750807
Germs,Los Angeles,California,12750807
Dead Man's Bones,Los Angeles,California,12750807
Brujeria,Los Angeles,California,12750807
Teenage Wrist,Los Angeles,California,12750807
Sasami,Los Angeles,California,12750807
Fort Minor,Los Angeles,California,12750807
Hollywood Undead,Los Angeles,California,12750807
Methods of Mayhem,Los Angeles,California,12750807
Goatsnake,Los Angeles,California,12750807
Great Northern,Los Angeles,California,12750807
Beck,Los Angeles,California,12750807
The Distillers,Los Angeles,California,12750807
Abysmal Dawn,Los Angeles,California,12750807
Metro Station,Los Angeles,California,12750807
Uh Huh Her,Los Angeles,California,12750807
Hey Violet,Los Angeles,California,12750807
Bleed The Dream,Los Angeles,California,12750807
The White Buffalo,Los Angeles,California,12750807
The Apex Theory,Los Angeles,California,12750807
Porno For Pyros,Los Angeles,California,12750807
Prophets of Rage,Los Angeles,California,12750807
Asesino,Los Angeles,California,12750807
Kesha,Los Angeles,California,12750807
Fitz and the Tantrums,Los Angeles,California,12750807
Carmen,Los Angeles,California,12750807
The Drips,Los Angeles,California,12750807
Oingo Boingo,Los Angeles,California,12750807
Autograph,Los Angeles,California,12750807
Juliette and the Licks,Los Angeles,California,12750807
Joan Jett and the Blackhearts,Los Angeles,California,12750807
No Age,Los Angeles,California,12750807
The Bicycle Thief,Los Angeles,California,12750807
Ariel Pink,Los Angeles,California,12750807
Michael Gira,Los Angeles,California,12750807
Badflower,Los Angeles,California,12750807
Steel Panther,Los Angeles,California,12750807
Pride and Glory,Los Angeles,California,12750807
Warpaint,Los Angeles,California,12750807
Strictly Ballroom,Los Angeles,California,12750807
Dawn Of Ashes,Los Angeles,California,12750807
The United States of America,Los Angeles,California,12750807
Heaven and Hell,Los Angeles,California,12750807
Allah-Las,Los Angeles,California,12750807
Milo Greene,Los Angeles,California,12750807
Distorted Pony,Los Angeles,California,12750807
+44,Los Angeles,California,12750807
Amen,Los Angeles,California,12750807
Shiny Toy Guns,Los Angeles,California,12750807
Love,Los Angeles,California,12750807
Hardline,Los Angeles,California,12750807
Grouplove,Los Angeles,California,12750807
that dog.,Los Angeles,California,12750807
Tenacious D,Los Angeles,California,12750807
Belinda Carlisle,Los Angeles,California,12750807
Black Math Horseman,Los Angeles,California,12750807
The Muffs,Los Angeles,California,12750807
Bad English,Los Angeles,California,12750807
Dillard and Clark,Los Angeles,California,12750807
Prototype,Los Angeles,California,12750807
Anywhere,Los Angeles,California,12750807
Everlast,Los Angeles,California,12750807
Holy Terror,Los Angeles,California,12750807
Redemption,Los Angeles,California,12750807
Ambrosia,Los Angeles,California,12750807
Red Temple Spirits,Los Angeles,California,12750807
Brides Of Destruction,Los Angeles,California,12750807
Rain Parade,Los Angeles,California,12750807
Planet X,Los Angeles,California,12750807
Impellitteri,Los Angeles,California,12750807
Nina Nastasia,Los Angeles,California,12750807
Barren Cross,Los Angeles,California,12750807
Opal,Los Angeles,California,12750807
Melted Bodies,Los Angeles,California,12750807
My Ruin,Los Angeles,California,12750807
SuperHeavy,Los Angeles,California,12750807
Puscifer,Los Angeles,California,12750807
The Seeds,Los Angeles,California,12750807
Dethklok,Los Angeles,California,12750807
MUNA,Los Angeles,California,12750807
The Mae Shi,Los Angeles,California,12750807
Otep,Los Angeles,California,12750807
Barrows,Los Angeles,California,12750807
Slash's Snakepit,Los Angeles,California,12750807
The Interrupters,Los Angeles,California,12750807
The Walker Brothers,Los Angeles,California,12750807
Van Dyke Parks,Los Angeles,California,12750807
Middle Brother,Los Angeles,California,12750807
NOFX,Los Angeles,California,12750807
OFF!,Los Angeles,California,12750807
The Gutter Twins,Los Angeles,California,12750807
Deuce,Los Angeles,California,12750807
Rooney,Los Angeles,California,12750807
Red Sparowes,Los Angeles,California,12750807
Dangers,Los Angeles,California,12750807
3rd Strike,Los Angeles,California,12750807
Divine Heresy,Los Angeles,California,12750807
In This Moment,Los Angeles,California,12750807
Omen,Los Angeles,California,12750807
Echoes of Eternity,Los Angeles,California,12750807
Fraction,Los Angeles,California,12750807
Heavens,Los Angeles,California,12750807
Goon Moon,Los Angeles,California,12750807
Don Dokken,Los Angeles,California,12750807
Lo-Pro,Los Angeles,California,12750807
Scars on Broadway,Los Angeles,California,12750807
Transplants,Los Angeles,California,12750807
The Nightwatchman,Los Angeles,California,12750807
Sixx:A.M.,Los Angeles,California,12750807
Volumes,Los Angeles,California,12750807
David Axelrod,Los Angeles,California,12750807
Phinehas,Los Angeles,California,12750807
Idaho,Los Angeles,California,12750807
Spain,Los Angeles,California,12750807
Cold Cave,Los Angeles,California,12750807
Little Feat,Los Angeles,California,12750807
