artist,country,city,latitude,longitude,address,state
Alpha Male Tea Party,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
Ringo Starr,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
The La's,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
Cast,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
Conan,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
Blackstar,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
Dawn Ray'd,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
The Beatles,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
Carcer City,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
A Flock of Seagulls,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
George Harrison,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
Carcass,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
Frankie Goes To Hollywood,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
Antimatter,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
John Lennon,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
Modern Eon,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
Circa Waves,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
Echo and The Bunnymen,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
Courting,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
Wstr,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
The Dead 60s,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
The Wombats,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
The Teardrop Explodes,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
Dragged Into Sunlight,United Kingdom,Liverpool,53.4071991,-2.99168,"Liverpool, Liverpool City Region, England, United Kingdom",Liverpool City Region
Catfish and the Bottlemen,United Kingdom,Llandudno,53.322475,-3.8243251,"Llandudno, Conwy, Cymru / Wales, LL30 1AH, United Kingdom",Wales
Kaleidoscope,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom",Greater London
McDonald and Giles,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom",Greater London
Art Bears,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom",Greater London
Rare Bird,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom",Greater London
Lush,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom",Greater London
Tellison,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom",Greater London
Nova Twins,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom",Greater London
Marika Hackman,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom",Greater London
Acoustic Ladyland,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom",Greater London
Manfred Mann's Earth Band,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom",Greater London
Tat,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom",Greater London
TRC,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom",Greater London
Cymande,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom",Greater London
Gnidrolog,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom",Greater London
Pete Townshend,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom",Greater London
Greenslade,United Kingdom,London,51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom",Greater London
