artist,city,state,population
The Pretty Things,London,Greater London,8825001
The Jim Jones Revue,London,Greater London,8825001
23 Skidoo,London,Greater London,8825001
The Crazy World of Arthur Brown,London,Greater London,8825001
The Jimi Hendrix Experience,London,Greater London,8825001
40 Watt Sun,London,Greater London,8825001
The Kinks,London,Greater London,8825001
AxeWound,London,Greater London,8825001
Noah and the Whale,London,Greater London,8825001
Bad Company,London,Greater London,8825001
Spice Girls,London,Greater London,8825001
Asia,London,Greater London,8825001
Comus,London,Greater London,8825001
Biomechanical,London,Greater London,8825001
Wire,London,Greater London,8825001
Siouxsie and the Banshees,London,Greater London,8825001
The King Blues,London,Greater London,8825001
Derek and the Dominos,London,Greater London,8825001
Indesinence,London,Greater London,8825001
Shopping,London,Greater London,8825001
Nucleus (UK),London,Greater London,8825001
Echo Lake,London,Greater London,8825001
Coldplay,London,Greater London,8825001
Big Audio Dynamite,London,Greater London,8825001
Cherubs,London,Greater London,8825001
Klaxons,London,Greater London,8825001
Add N to,London,Greater London,8825001
The Raven Age,London,Greater London,8825001
Kaleidoscope,London,Greater London,8825001
Tomorrow,London,Greater London,8825001
The Creatures,London,Greater London,8825001
The Field Mice,London,Greater London,8825001
Gorillaz,London,Greater London,8825001
Uriah Heep,London,Greater London,8825001
Girlschool,London,Greater London,8825001
Babyshambles,London,Greater London,8825001
Strawbs,London,Greater London,8825001
Tubeway Army,London,Greater London,8825001
Shit and Shine,London,Greater London,8825001
Goat Girl,London,Greater London,8825001
Steeleye Span,London,Greater London,8825001
The Meteors,London,Greater London,8825001
The Raincoats,London,Greater London,8825001
Pumarosa,London,Greater London,8825001
TV Priest,London,Greater London,8825001
The Adverts,London,Greater London,8825001
The Web,London,Greater London,8825001
Male Bonding,London,Greater London,8825001
Alexi Murdoch,London,Greater London,8825001
801,London,Greater London,8825001
Stray,London,Greater London,8825001
One Minute Silence,London,Greater London,8825001
Dirty Pretty Things,London,Greater London,8825001
Pure Love,London,Greater London,8825001
Bill Fay,London,Greater London,8825001
Adam and the Ants,London,Greater London,8825001
Mojave 3,London,Greater London,8825001
Guillemots,London,Greater London,8825001
Arcadia,London,Greater London,8825001
The Rolling Stones,London,Greater London,8825001
Miranda Sex Garden,London,Greater London,8825001
David Bowie,London,Greater London,8825001
Sleeper,London,Greater London,8825001
Moonshake,London,Greater London,8825001
The Outfield,London,Greater London,8825001
Patrick Wolf,London,Greater London,8825001
Stereolab,London,Greater London,8825001
Daughter,London,Greater London,8825001
Elephant Tree,London,Greater London,8825001
Hot Chip,London,Greater London,8825001
King Charles,London,Greater London,8825001
Fleetwood Mac,London,Greater London,8825001
Savoy Brown,London,Greater London,8825001
Flotation Toy Warning,London,Greater London,8825001
The History Of Apple Pie,London,Greater London,8825001
Queen,London,Greater London,8825001
Colin Newman,London,Greater London,8825001
The Boxer Rebellion,London,Greater London,8825001
Juno Reactor,London,Greater London,8825001
Suns of the Tundra,London,Greater London,8825001
Keaton Henson,London,Greater London,8825001
Calligram,London,Greater London,8825001
Sault,London,Greater London,8825001
Bastille,London,Greater London,8825001
Modestep,London,Greater London,8825001
Dusty Springfield,London,Greater London,8825001
Throats,London,Greater London,8825001
Sun Dial,London,Greater London,8825001
Jade Warrior,London,Greater London,8825001
The Waterboys,London,Greater London,8825001
The Tiger Lillies,London,Greater London,8825001
Brontide,London,Greater London,8825001
Young Legionnaire,London,Greater London,8825001
The Police,London,Greater London,8825001
Quintessence,London,Greater London,8825001
Supertramp,London,Greater London,8825001
The Glove,London,Greater London,8825001
Curve,London,Greater London,8825001
The Veils,London,Greater London,8825001
The Yardbirds,London,Greater London,8825001
Atomic Rooster,London,Greater London,8825001
Steve Hackett,London,Greater London,8825001
Fanfarlo,London,Greater London,8825001
Blur,London,Greater London,8825001
Angel Witch,London,Greater London,8825001
Gary Numan,London,Greater London,8825001
Colosseum,London,Greater London,8825001
Karybdis,London,Greater London,8825001
Lene Lovich,London,Greater London,8825001
PIG,London,Greater London,8825001
Nedry,London,Greater London,8825001
Mumford and Sons,London,Greater London,8825001
Breathless,London,Greater London,8825001
The Only Ones,London,Greater London,8825001
T2,London,Greater London,8825001
Skullflower,London,Greater London,8825001
Test Icicles,London,Greater London,8825001
QueenAdreena,London,Greater London,8825001
Bodychoke,London,Greater London,8825001
Grave Miasma,London,Greater London,8825001
The Ruts,London,Greater London,8825001
Cream,London,Greater London,8825001
The Fixx,London,Greater London,8825001
Fields,London,Greater London,8825001
The Auteurs,London,Greater London,8825001
Ithaca,London,Greater London,8825001
Suede,London,Greater London,8825001
Son of Dork,London,Greater London,8825001
Django Django,London,Greater London,8825001
Bat For Lashes,London,Greater London,8825001
Colosseum II,London,Greater London,8825001
The Legendary Pink Dots,London,Greater London,8825001
The Clientele,London,Greater London,8825001
McFly,London,Greater London,8825001
Engineers,London,Greater London,8825001
Brand X,London,Greater London,8825001
Art Brut,London,Greater London,8825001
Gorerotted,London,Greater London,8825001
BBM,London,Greater London,8825001
999,London,Greater London,8825001
Abhorrent Decimation,London,Greater London,8825001
Morgan,London,Greater London,8825001
Vanishing Twin,London,Greater London,8825001
Woo,London,Greater London,8825001
Crystal Fighters,London,Greater London,8825001
One Direction,London,Greater London,8825001
Jessie J,London,Greater London,8825001
Current 93,London,Greater London,8825001
Archive,London,Greater London,8825001
High Vis,London,Greater London,8825001
Lowen,London,Greater London,8825001
Orange Goblin,London,Greater London,8825001
Death In Vegas,London,Greater London,8825001
The Vibrators,London,Greater London,8825001
*shels,London,Greater London,8825001
The Who,London,Greater London,8825001
Akasha,London,Greater London,8825001
Elastica,London,Greater London,8825001
Elixir,London,Greater London,8825001
Miasma and The Carousel of Headless Horses,London,Greater London,8825001
Sacred Son,London,Greater London,8825001
Fractals,London,Greater London,8825001
Deep Purple,London,Greater London,8825001
Haken,London,Greater London,8825001
Savage Messiah,London,Greater London,8825001
Curved Air,London,Greater London,8825001
UFO,London,Greater London,8825001
5ive,London,Greater London,8825001
The Maccabees,London,Greater London,8825001
Bloc Party,London,Greater London,8825001
Factory Floor,London,Greater London,8825001
Talanas,London,Greater London,8825001
UNKLE,London,Greater London,8825001
Razorlight,London,Greater London,8825001
Black Midi,London,Greater London,8825001
God,London,Greater London,8825001
The Damned,London,Greater London,8825001
Fuzzy Duck,London,Greater London,8825001
Zulu Winter,London,Greater London,8825001
Down I Go,London,Greater London,8825001
Cock Sparrer,London,Greater London,8825001
The House of Love,London,Greater London,8825001
Devil Sold His Soul,London,Greater London,8825001
Dark Star,London,Greater London,8825001
Atvm,London,Greater London,8825001
Grand National,London,Greater London,8825001
Egg,London,Greater London,8825001
Bear's Den,London,Greater London,8825001
All Saints,London,Greater London,8825001
Trees,London,Greater London,8825001
Jungle,London,Greater London,8825001
Grinderman,London,Greater London,8825001
The Slits,London,Greater London,8825001
Daniel Bedingfield,London,Greater London,8825001
Wolf Alice,London,Greater London,8825001
America,London,Greater London,8825001
Fightstar,London,Greater London,8825001
Free,London,Greater London,8825001
Khan,London,Greater London,8825001
Scouting for Girls,London,Greater London,8825001
Catapilla,London,Greater London,8825001
All About Eve,London,Greater London,8825001
Sunhouse,London,Greater London,8825001
Whitesnake,London,Greater London,8825001
Public Service Broadcasting,London,Greater London,8825001
Purson,London,Greater London,8825001
Squackett,London,Greater London,8825001
Arzachel,London,Greater London,8825001
"Apologies, I Have None",London,Greater London,8825001
Last Witness,London,Greater London,8825001
Dry The River,London,Greater London,8825001
Tytan,London,Greater London,8825001
Qrixkuor,London,Greater London,8825001
The Rakes,London,Greater London,8825001
LUMP,London,Greater London,8825001
Dif Juz,London,Greater London,8825001
Skunk Anansie,London,Greater London,8825001
T. Rex,London,Greater London,8825001
X-Ray Spex,London,Greater London,8825001
Puppy,London,Greater London,8825001
Rain Tree Crow,London,Greater London,8825001
IAMX,London,Greater London,8825001
Rudimentary Peni,London,Greater London,8825001
Richard Henshall,London,Greater London,8825001
Fairport Convention,London,Greater London,8825001
The The,London,Greater London,8825001
Momentum,London,Greater London,8825001
Bark Psychosis,London,Greater London,8825001
McDonald and Giles,London,Greater London,8825001
The Firm,London,Greater London,8825001
Ocean Colour Scene,Birmingham,West Midlands,1137100
Lock Up,Birmingham,West Midlands,1137100
